步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰里米-兰姆,G,31,8-16,3-6,0-0,0,4,"
4","
4",2,1,1,0,"
19","
+17"
马尔科姆-布罗格登,G,30,6-12,2-4,0-0,0,6,"
6","
8",0,1,3,0,"
14","
+9"
TJ-沃伦,F,34,11-15,3-5,1-2,1,3,"
4","
0",0,0,4,0,"
26","
+18"
多曼塔斯-萨博尼斯,F,33,5-8,0-1,3-6,3,10,"
13","
6",1,2,1,0,"
13","
+9"
迈尔斯-特纳,C,30,3-5,1-2,0-0,0,4,"
4","
2",4,0,1,5,"
7","
+18"
TJ-麦康奈尔,G,19,5-12,1-2,0-0,2,3,"
5","
6",1,0,1,0,"
11","
-5"
阿龙-霍勒迪,G,18,6-9,4-6,0-0,1,2,"
3","
1",0,2,1,0,"
16","
+3"
道格-麦克德莫特,F,17,3-5,1-1,0-0,1,3,"
4","
0",1,0,1,0,"
7","
+1"
贾斯廷-霍勒迪,F-G,15,3-7,3-5,0-0,1,1,"
2","
2",0,0,0,0,"
9","
+13"
戈加-比塔泽,C-F,7,1-3,0-0,2-2,1,0,"
1","
0",2,0,0,1,"
4","
-9"
TJ-利夫,F,3,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-7"
阿利兹-约翰逊 ,F,3,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-7"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,32,4-13,1-4,0-1,3,4,"
7","
3",1,2,1,0,"
9","
+7
"
贾-莫兰特,G,30,6-15,0-1,7-8,1,1,"
2","
10",0,2,0,1,"
19","
+16
"
杰-克劳德,F,32,3-10,3-8,0-0,0,3,"
3","
2",1,0,0,0,"
9","
-5
"
小贾伦-杰克逊,F,23,10-15,6-8,2-2,1,4,"
5","
1",5,0,1,0,"
28","
+1
"
约纳斯-瓦兰丘纳斯,C,26,7-13,0-1,0-2,3,8,"
11","
0",4,1,3,3,"
14","
-17
"
布兰登-克拉克,F-G,25,8-9,1-1,0-0,1,3,"
4","
1",0,0,1,1,"
17","
-14"
所罗门-希尔,F,18,2-5,1-3,0-0,0,3,"
3","
5",2,0,0,0,"
5","
+1"
凯尔-安德森,F-G,15,2-4,0-0,0-0,0,3,"
3","
1",1,1,1,0,"
4","
-21"
泰厄斯-琼斯,G,12,0-5,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-25"
格雷森-阿伦,G,12,2-5,0-2,0-0,0,3,"
3","
3",0,0,0,0,"
4","
+2"
马尔科-古杜里克,G-F,8,2-3,1-1,0-0,0,0,"
0","
1",0,0,0,0,"
5","
-5"
丹东尼-梅尔顿,G,6,0-0,0-0,0-0,0,0,"
0","
2",2,0,1,0,"
0","
-3"
布鲁诺-卡博克洛,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
