掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,28,4-11,1-6,2-2,1,3,"
4","
2",1,1,0,0,"
11","
+15"
贾马尔-默里,G,25,7-12,0-2,2-2,0,2,"
2","
2",1,3,5,1,"
16","
+12"
威尔-巴顿,F,37,7-13,2-5,1-1,2,6,"
8","
8",3,0,3,1,"
17","
+11"
保罗-米尔萨普,F,20,3-9,0-1,2-3,1,2,"
3","
1",1,0,0,2,"
8","
+5"
尼古拉-约基奇,C,25,4-8,0-0,0-0,2,18,"
20","
5",3,0,3,0,"
8","
+10"
杰拉米-格兰特,F,28,7-13,1-4,5-7,1,3,"
4","
1",2,2,0,0,"
20","
+8"
梅森-普拉姆利,F-C,23,7-8,0-0,1-4,3,4,"
7","
3",3,1,5,1,"
15","
+3"
蒙特-莫里斯,G,23,4-9,0-1,2-2,0,3,"
3","
5",1,0,0,1,"
10","
+1"
马利克-比斯利,G,19,3-5,1-3,2-2,0,4,"
4","
2",2,1,2,0,"
9","
-2"
胡安-埃尔南戈麦斯,F,12,1-2,1-2,0-0,0,3,"
3","
2",3,0,2,0,"
3","
+2"
托里-克雷格,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小迈克尔-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,30,6-15,2-10,0-2,0,4,"
4","
6",1,1,4,0,"
14","
-15
"
以赛亚-托马斯,G,22,1-8,0-3,1-2,0,0,"
0","
2",2,0,3,0,"
3","
-13
"
特洛伊-布朗,F,23,5-8,0-1,2-2,2,2,"
4","
2",0,1,2,0,"
12","
-7
"
八村垒,F,22,3-10,1-3,0-0,0,4,"
4","
2",4,1,0,0,"
7","
-16
"
托马斯-布莱恩特,C,23,4-7,0-1,2-2,0,8,"
8","
2",2,2,0,2,"
10","
-14
"
莫里茨-瓦格纳,F-C,25,6-8,1-3,1-1,1,1,"
2","
3",3,1,1,0,"
14","
+1"
乔丹-麦克雷,G,24,9-16,3-5,0-0,1,3,"
4","
3",3,1,2,0,"
21","
+5"
戴维斯-贝尔坦斯,F,23,3-9,3-8,5-7,1,4,"
5","
0",3,0,0,1,"
14","
-12"
CJ-迈尔斯,G,21,1-7,0-4,3-5,0,1,"
1","
2",2,2,0,0,"
5","
+4"
伊斯梅尔-史密斯,G,20,1-6,0-2,0-0,0,3,"
3","
3",1,0,0,0,"
2","
-6"
伊萨克-邦加,G,6,1-1,0-0,0-0,0,1,"
1","
1",1,0,0,0,"
2","
+6"
克里斯-奇奥萨,G,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
