勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
亚历克-伯克斯,G,35,9-19,3-8,2-3,2,8,"
10","
7",3,0,2,0,"
23","
+7"
格伦-罗宾逊三世,G,34,4-11,2-6,1-2,0,1,"
1","
3",1,2,0,1,"
11","
+12"
埃里克-帕斯卡尔,F,36,9-17,2-2,5-6,3,4,"
7","
3",0,0,1,0,"
25","
+10"
德雷蒙德-格林,F,24,2-3,1-1,2-4,0,5,"
5","
8",3,3,5,2,"
7","
+9"
威利-考利-斯坦,C,17,0-5,0-0,3-4,3,6,"
9","
3",1,1,3,1,"
3","
+1"
凯-鲍曼,G,28,1-4,1-4,2-2,0,3,"
3","
3",2,0,2,0,"
5","
+3"
奥马里-斯佩尔曼,F,24,5-11,1-3,2-2,4,7,"
11","
1",1,2,1,3,"
13","
+15"
乔丹-普尔,G,22,2-6,0-4,2-3,0,3,"
3","
2",2,0,3,0,"
6","
+7"
马基斯-克里斯,F,20,5-5,1-1,0-0,1,4,"
5","
1",4,4,3,2,"
11","
+6"
达米恩-李,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,36,13-24,4-9,6-6,0,5,"
5","
5",2,2,2,2,"
36","
+2
"
托马什-萨托兰斯基,G,35,7-12,3-5,2-3,5,2,"
7","
7",2,2,4,0,"
19","
-1
"
劳里-马尔卡宁,F,25,3-10,1-4,1-1,1,3,"
4","
3",2,1,2,0,"
8","
+4
"
钱德勒-哈奇森,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2
"
温德尔-卡特,C,30,4-10,0-0,0-2,5,4,"
9","
0",4,2,1,0,"
8","
-11
"
科比-怀特,G,26,0-7,0-4,2-2,0,1,"
1","
0",0,2,3,0,"
2","
-19"
赛迪斯-杨,F,21,2-7,1-1,1-2,1,5,"
6","
1",1,2,2,0,"
6","
-20"
克里斯-邓恩,G,19,0-5,0-2,0-0,0,3,"
3","
3",6,1,0,0,"
0","
-3"
里安-阿尔奇迪亚科诺,G,13,1-3,0-0,0-0,0,1,"
1","
1",1,1,2,0,"
2","
-19"
卢克-科内特,F-C,10,0-1,0-1,0-0,0,1,"
1","
0",2,1,0,2,"
0","
+3"
丹尼尔-加福德,F-C,9,1-1,0-0,0-2,1,2,"
3","
0",0,0,0,0,"
2","
-4"
沙奎尔-哈里森,G,7,3-7,1-2,0-0,1,0,"
1","
0",0,0,1,0,"
7","
0"
登泽尔-瓦伦丁,G,6,0-2,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-4"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
