黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,37,6-15,3-6,1-1,0,7,"
7","
15",1,0,1,0,"
16","
+5"
特里-罗齐尔,G,34,3-11,3-6,3-3,1,1,"
2","
3",1,1,1,1,"
12","
-3"
迈尔斯-布里奇斯,F,30,7-14,1-6,0-0,0,6,"
6","
3",1,1,1,0,"
15","
+3"
PJ-华盛顿,F,21,7-11,0-2,3-4,0,5,"
5","
0",4,0,0,2,"
17","
+15"
俾斯麦-比永博,C,34,8-11,0-0,3-5,3,6,"
9","
1",4,0,0,2,"
19","
+5"
尼古拉斯-巴图姆,G-F,31,4-7,0-2,5-5,3,2,"
5","
1",3,0,0,2,"
13","
-9"
马文-威廉姆斯,F,24,3-6,0-3,0-0,2,2,"
4","
0",2,1,0,0,"
6","
-6"
马利克-蒙克,G,16,1-7,0-4,2-2,1,0,"
1","
3",0,0,0,0,"
4","
+1"
吉列尔莫-埃尔南戈麦斯,C-F,6,0-3,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
0","
-7"
科迪-马丁,F-G,5,0-3,0-1,0-0,0,0,"
0","
1",1,0,0,0,"
0","
+1"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-泽勒,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-培根,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢克-肯纳德,G,35,6-12,2-5,2-3,0,3,"
3","
1",2,0,0,0,"
16","
+3
"
布鲁斯-布朗,G,23,4-5,0-1,0-0,0,2,"
2","
1",2,1,0,1,"
8","
-5
"
布雷克-格里芬,F,31,9-21,4-11,4-5,3,3,"
6","
2",1,0,1,0,"
26","
-3
"
兰斯顿-加洛韦,F,29,4-9,1-5,1-1,0,0,"
0","
2",1,0,1,0,"
10","
-9
"
安德烈-德拉蒙德,C,38,6-11,0-0,2-5,3,18,"
21","
7",5,1,4,0,"
14","
-5
"
德里克-罗斯,G,25,6-15,1-4,0-0,1,0,"
1","
8",1,0,1,0,"
13","
+4"
托尼-斯内尔,G,20,0-2,0-1,0-0,0,3,"
3","
0",2,0,0,0,"
0","
+6"
马基夫-莫里斯,F,17,3-6,1-2,0-0,1,4,"
5","
2",1,0,0,1,"
7","
+2"
斯维亚托斯拉夫-米哈伊柳克,G-F,13,1-3,1-3,0-0,0,1,"
1","
0",2,0,1,0,"
3","
-2"
克里斯蒂安-伍德,F,10,2-4,0-0,0-1,1,3,"
4","
0",1,0,0,0,"
4","
+4"
雷吉-杰克逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塞古-敦布亚,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
索恩-梅克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂姆-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
