开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,38,7-14,3-6,3-3,1,6,"
7","
2",3,0,3,1,"
20","
+10"
达米安-利拉德,G,37,9-18,3-11,7-9,0,2,"
2","
6",1,0,4,0,"
28","
-4"
卡梅罗-安东尼,F,37,8-16,1-3,6-7,2,9,"
11","
4",3,1,0,0,"
23","
+10"
罗德尼-胡德,F,36,7-12,3-5,2-2,0,1,"
1","
3",2,1,0,0,"
19","
-3"
哈桑-怀特塞德,C,30,4-11,0-0,0-3,4,11,"
15","
1",5,1,2,10,"
8","
-1"
斯卡尔-拉比西埃,F-C,18,1-3,0-1,0-0,1,5,"
6","
2",5,1,1,0,"
2","
+3"
安芬尼-西蒙斯,G,18,0-4,0-2,1-2,0,3,"
3","
1",0,0,1,0,"
1","
+4"
肯特-贝兹莫尔,G-F,16,1-4,0-1,2-2,0,2,"
2","
0",1,2,1,0,"
4","
+7"
纳西尔-利特尔,F-G,11,1-2,0-1,0-0,0,2,"
2","
1",1,0,1,0,"
2","
-6"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小加里-特伦特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里奥-海佐尼亚,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-托利弗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,38,8-24,5-11,7-10,1,5,"
6","
5",2,1,0,0,"
28","
+3
"
托马什-萨托兰斯基,G,30,4-8,2-4,2-2,0,3,"
3","
8",1,1,1,0,"
12","
-2
"
劳里-马尔卡宁,F,32,4-14,2-7,3-4,2,6,"
8","
3",3,0,1,0,"
13","
+1
"
克里斯-邓恩,F,29,4-7,1-2,0-0,1,6,"
7","
2",3,2,5,0,"
9","
-6
"
温德尔-卡特,C,34,7-16,0-1,2-4,4,5,"
9","
1",4,2,0,0,"
16","
+3
"
赛迪斯-杨,F,21,2-6,1-3,0-2,3,6,"
9","
1",4,2,2,0,"
5","
-9"
科比-怀特,G,20,5-13,2-7,1-1,0,4,"
4","
1",0,0,0,0,"
13","
-5"
里安-阿尔奇迪亚科诺,G,15,1-4,1-2,0-0,0,0,"
0","
2",4,0,2,0,"
3","
+1"
登泽尔-瓦伦丁,G,10,0-1,0-1,0-0,0,1,"
1","
1",1,0,0,1,"
0","
-7"
丹尼尔-加福德,F-C,8,1-1,0-0,2-2,0,0,"
0","
0",0,0,0,1,"
4","
-1"
马克思-斯特鲁斯,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙奎尔-哈里森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
