步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰里米-兰姆,G,40,9-15,0-4,2-2,0,3,"
3","
2",2,0,1,0,"
20","
+5"
马尔科姆-布罗格登,G,39,6-15,0-2,4-4,0,6,"
6","
7",3,1,5,1,"
16","
+8"
多曼塔斯-萨博尼斯,F,42,6-11,0-0,5-8,5,7,"
12","
2",2,2,2,0,"
17","
+4"
TJ-沃伦,F,35,5-11,1-2,5-6,2,1,"
3","
2",2,2,0,0,"
16","
+11"
迈尔斯-特纳,C,38,5-14,2-5,5-8,2,4,"
6","
1",2,0,2,4,"
17","
+18"
贾斯廷-霍勒迪,F-G,23,2-7,1-3,0-0,0,6,"
6","
1",1,6,1,1,"
5","
-5"
道格-麦克德莫特,F,15,3-8,2-7,0-0,0,0,"
0","
0",2,0,1,1,"
8","
-19"
阿龙-霍勒迪,G,14,2-7,0-3,0-0,0,3,"
3","
0",3,1,1,0,"
4","
-4"
TJ-麦康奈尔,G,14,1-4,0-0,0-0,1,1,"
2","
4",2,0,2,0,"
2","
-7"
戈加-比塔泽,C-F,4,0-1,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
0","
-6"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,43,16-28,8-15,9-9,0,1,"
1","
6",1,2,9,0,"
49","
+1
"
卡姆-雷迪什,G,11,1-7,0-1,0-0,1,2,"
3","
1",1,0,1,0,"
2","
-7
"
德安德烈-亨特,F,41,3-8,1-4,0-0,0,3,"
3","
2",3,0,5,0,"
7","
+10
"
贾巴里-帕克,F,31,1-8,0-3,2-2,2,8,"
10","
2",2,3,2,0,"
4","
-10
"
达米安-琼斯,C,21,3-6,0-1,0-0,1,4,"
5","
0",6,0,1,0,"
6","
+10
"
德安德烈-本布里,G-F,41,7-13,0-4,1-1,1,11,"
12","
0",3,2,0,1,"
15","
+13"
亚历克斯-莱恩,C,29,5-8,0-0,5-6,4,5,"
9","
0",4,1,1,0,"
15","
+5"
布鲁诺-费尔南多,F-C,15,3-4,0-0,0-0,2,2,"
4","
2",4,0,2,1,"
6","
-2"
埃文-特纳,G-F,13,0-1,0-0,0-0,0,0,"
0","
0",0,1,3,1,"
0","
-7"
文斯-卡特,G-F,11,0-5,0-2,0-0,0,0,"
0","
1",2,1,0,0,"
0","
-5"
阿伦-克拉布,G-F,10,0-3,0-2,0-0,0,2,"
2","
0",1,0,0,0,"
0","
-13"
蒂龙-华莱士,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫尔特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
