湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯塔维厄斯-考德威尔-波普,G,29,2-6,0-2,0-0,0,3,"
3","
3",3,0,0,0,"
4","
+23"
丹尼-格林,G,21,4-6,3-5,0-0,0,2,"
2","
0",3,1,0,0,"
11","
+18"
安东尼-戴维斯,F,27,8-15,1-2,9-12,4,9,"
13","
2",1,0,0,3,"
26","
+28"
勒布朗-詹姆斯,F,25,9-16,4-8,1-2,0,3,"
3","
11",1,2,6,1,"
23","
+20"
贾维尔-麦基,C,22,5-7,0-0,5-6,1,10,"
11","
2",5,1,3,2,"
15","
+3"
奎因-库克,G,23,7-11,3-4,0-0,0,2,"
2","
1",1,0,2,0,"
17","
-2"
德怀特-霍华德,C,19,3-4,0-0,2-2,2,3,"
5","
0",4,1,3,2,"
8","
+5"
亚历克斯-卡鲁索,G,19,0-3,0-2,2-4,0,3,"
3","
3",2,1,1,0,"
2","
-2"
凯尔-库兹马,F,17,2-7,0-1,0-0,0,2,"
2","
1",0,0,2,0,"
4","
+10"
贾里德-杜德利,F,14,0-1,0-1,2-2,0,0,"
0","
2",0,2,1,0,"
2","
-7"
特洛伊-丹尼尔斯,G,13,0-4,0-3,0-0,0,2,"
2","
0",0,1,0,0,"
0","
-1"
拉简-隆多,G,11,5-7,3-4,0-0,0,1,"
1","
4",0,0,0,0,"
13","
+15"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃弗里-布拉德利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小扎克-诺维尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,30,5-13,2-7,6-6,1,2,"
3","
9",3,2,3,0,"
18","
-20
"
以赛亚-托马斯,G,22,4-6,2-4,0-0,0,0,"
0","
1",3,1,1,0,"
10","
-13
"
八村垒,F,26,7-15,0-3,2-2,1,7,"
8","
1",2,1,1,0,"
16","
-27
"
特洛伊-布朗,F,20,4-10,0-2,1-2,3,4,"
7","
1",2,3,2,1,"
9","
-18
"
托马斯-布莱恩特,C,22,2-6,0-0,1-2,0,5,"
5","
3",2,0,1,0,"
5","
-23
"
戴维斯-贝尔坦斯,F,27,2-6,2-5,0-0,0,3,"
3","
2",4,0,1,0,"
6","
-2"
伊斯梅尔-史密斯,G,26,6-14,1-4,0-0,1,2,"
3","
3",1,1,1,0,"
13","
-9"
乔丹-麦克雷,G,22,5-10,1-5,2-2,1,4,"
5","
4",1,1,1,0,"
13","
+3"
莫里茨-瓦格纳,F-C,22,1-9,0-4,5-5,5,3,"
8","
1",5,1,4,1,"
7","
-3"
伊萨克-邦加,G,17,2-5,2-3,0-0,1,2,"
3","
0",0,0,1,0,"
6","
0"
克里斯-奇奥萨,G,5,0-2,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
+2"
CJ-迈尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
