马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德里克-怀特,G,28,6-10,5-7,0-0,0,3,"
3","
3",1,0,2,0,"
17","
+4"
布林-福布斯,G,24,4-8,2-5,2-2,0,2,"
2","
2",2,0,0,0,"
12","
-2"
德马尔-德罗赞,F,35,7-16,1-1,0-0,1,8,"
9","
5",3,3,4,0,"
15","
+3"
拉马库斯-阿尔德里奇,F,31,5-13,0-1,7-8,1,7,"
8","
7",2,1,0,4,"
17","
0"
鲁迪-盖伊,C,31,2-9,0-3,2-2,2,4,"
6","
1",3,1,2,0,"
6","
+4"
帕蒂-米尔斯,G,23,5-10,3-7,0-0,0,1,"
1","
1",1,1,0,0,"
13","
+17"
德章泰-默里,G,20,2-8,0-2,0-0,1,2,"
3","
4",0,1,0,0,"
4","
+6"
特雷-莱尔斯,F,17,4-8,2-6,0-0,1,3,"
4","
3",1,1,0,0,"
10","
+6"
雅各布-珀尔特尔,C,15,3-4,0-0,0-0,2,4,"
6","
0",1,0,1,4,"
6","
+15"
马科-贝里内利,G,13,2-6,1-4,2-2,0,6,"
6","
2",0,0,0,0,"
7","
+7"
朗尼-沃克,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
德鲁-尤班克斯,F-C,1,0-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-5"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特里克-贝弗利,G,36,3-9,2-7,2-2,2,3,"
5","
2",2,0,1,0,"
10","
-7
"
保罗-乔治,G,33,2-11,1-5,0-0,1,7,"
8","
3",2,0,5,0,"
5","
-4
"
科怀-伦纳德,F,30,8-23,0-1,3-3,1,6,"
7","
7",0,2,3,1,"
19","
+5
"
莫里斯-哈克利斯,F,23,3-5,1-1,2-2,1,1,"
2","
1",2,3,1,2,"
9","
-9
"
伊维察-祖巴茨,C,17,3-5,0-0,2-2,1,4,"
5","
1",4,0,0,0,"
8","
+6
"
路易斯-威廉姆斯,G,28,2-10,1-6,2-2,0,2,"
2","
7",3,1,3,0,"
7","
-19"
蒙特雷兹-哈勒尔,F-C,25,6-12,0-1,0-0,2,5,"
7","
0",0,0,0,1,"
12","
-11"
杰迈克尔-格林,F-C,25,5-8,4-6,2-2,1,7,"
8","
1",3,0,1,0,"
16","
-13"
杰罗姆-罗宾逊,G,14,3-7,2-4,0-0,0,3,"
3","
0",1,0,0,0,"
8","
-11"
特伦斯-曼,G-F,4,0-0,0-0,0-0,0,1,"
1","
1",0,0,0,1,"
0","
+1"
帕特里克-帕特森,F,3,1-1,1-1,0-0,0,0,"
0","
0",0,0,0,0,"
3","
+6"
德里克-沃顿,G,3,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+6"
罗德尼-麦格鲁德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
