快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,30,10-21,4-10,7-7,0,8,"
8","
1",1,0,2,1,"
31","
+15"
帕特里克-贝弗利,G,24,1-3,1-2,0-0,3,3,"
6","
2",4,3,0,0,"
3","
+5"
科怀-伦纳德,F,26,14-21,2-5,4-4,2,4,"
6","
3",3,1,1,0,"
34","
+24"
莫里斯-哈克利斯,F,24,3-4,1-2,0-2,1,1,"
2","
1",3,0,0,1,"
7","
+3"
伊维察-祖巴茨,C,16,0-1,0-0,2-2,0,4,"
4","
1",4,0,3,0,"
2","
+1"
蒙特雷兹-哈勒尔,F-C,27,9-15,0-2,5-9,3,12,"
15","
1",0,1,2,1,"
23","
+30"
路易斯-威廉姆斯,G,23,6-10,2-3,8-9,0,1,"
1","
8",1,0,4,0,"
22","
+22"
杰罗姆-罗宾逊,G,20,2-4,1-2,3-4,0,3,"
3","
3",3,1,1,1,"
8","
+8"
特伦斯-曼,G-F,15,3-4,0-0,1-1,1,2,"
3","
0",3,1,2,1,"
7","
+2"
帕特里克-帕特森,F,14,2-4,2-4,0-0,0,2,"
2","
1",1,0,1,0,"
6","
+9"
杰迈克尔-格林,F-C,10,1-3,1-2,2-2,0,2,"
2","
0",1,1,0,0,"
5","
+18"
德里克-沃顿,G,6,1-1,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
2","
-6"
菲翁杜-卡本盖莱,F-C,5,0-3,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-6"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-麦格鲁德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,35,7-19,0-4,9-10,0,5,"
5","
11",2,2,5,0,"
23","
-14
"
以赛亚-托马斯,G,25,5-11,3-6,3-5,1,3,"
4","
4",2,0,2,0,"
16","
-11
"
八村垒,F,38,13-23,2-5,2-3,2,7,"
9","
3",3,1,0,0,"
30","
-8
"
特洛伊-布朗,F,22,4-8,0-1,0-0,1,6,"
7","
0",5,1,0,0,"
8","
-8
"
托马斯-布莱恩特,C,31,3-11,0-1,3-6,4,4,"
8","
3",3,0,1,0,"
9","
-28
"
戴维斯-贝尔坦斯,F,29,7-10,6-9,0-0,2,2,"
4","
1",4,2,1,1,"
20","
-32"
伊萨克-邦加,G,19,3-4,0-1,1-1,2,1,"
3","
3",4,1,0,0,"
7","
-2"
乔丹-麦克雷,G,18,3-10,0-2,2-2,0,1,"
1","
2",3,0,2,0,"
8","
-8"
伊斯梅尔-史密斯,G,17,2-6,0-1,0-0,0,1,"
1","
3",3,1,2,0,"
4","
-20"
克里斯-奇奥萨,G,6,0-0,0-0,0-0,0,1,"
1","
2",0,2,1,0,"
0","
+6"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-迈尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
