黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,39,5-19,1-10,4-4,2,2,"
4","
13",1,0,4,0,"
15","
-1"
特里-罗齐尔,G,34,5-10,3-6,0-0,0,7,"
7","
3",4,1,3,0,"
13","
-11"
迈尔斯-布里奇斯,F,25,3-10,1-2,0-2,3,5,"
8","
1",6,0,2,0,"
7","
-23"
PJ-华盛顿,F,18,5-7,0-2,1-2,0,1,"
1","
2",4,0,1,0,"
11","
-6"
俾斯麦-比永博,C,26,3-8,0-0,3-5,4,7,"
11","
1",1,0,1,2,"
9","
-2"
马文-威廉姆斯,F,31,5-8,2-3,10-10,0,5,"
5","
3",1,1,3,2,"
22","
-1"
马利克-蒙克,G,22,2-6,0-2,2-2,0,3,"
3","
3",1,1,1,1,"
6","
+5"
科迪-泽勒,F-C,18,5-7,0-0,1-1,3,5,"
8","
1",1,0,2,2,"
11","
+1"
德维恩-培根,G-F,16,3-8,0-1,0-0,1,3,"
4","
0",4,0,0,0,"
6","
+16"
尼古拉斯-巴图姆,G-F,11,2-2,0-0,0-0,1,1,"
2","
0",0,1,2,0,"
4","
-3"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,38,7-15,3-10,6-7,1,3,"
4","
4",3,1,5,1,"
23","
+8
"
里基-卢比奥,G,36,3-10,0-5,3-4,0,1,"
1","
13",1,4,0,1,"
9","
+6
"
凯利-乌布雷,F,38,8-17,2-9,5-7,0,3,"
3","
0",2,2,0,1,"
23","
+11
"
达里奥-沙里奇,F,32,5-11,1-5,5-5,3,7,"
10","
2",3,0,0,1,"
16","
+6
"
弗兰克-卡明斯基,C,33,5-12,0-4,2-5,1,5,"
6","
4",2,0,1,2,"
12","
+3
"
米卡尔-布里奇斯,F,30,5-12,1-3,1-2,3,5,"
8","
2",5,2,0,1,"
12","
-1"
泰-杰罗姆,G-F,12,2-4,0-1,0-0,0,3,"
3","
4",4,3,0,0,"
4","
-1"
卡梅伦-约翰逊,F,11,2-4,0-2,0-0,1,1,"
2","
1",0,0,1,0,"
4","
-4"
杰文-卡特,G,10,2-3,2-3,0-0,0,0,"
0","
0",1,0,0,0,"
6","
-3"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃利-奥科博,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
