掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,36,8-17,0-3,6-6,0,5,"
5","
5",0,2,1,1,"
22","
-7"
加里-哈里斯,G,33,4-9,1-3,0-0,1,0,"
1","
0",2,1,1,0,"
9","
-4"
威尔-巴顿,F,37,2-11,1-8,0-0,0,6,"
6","
4",5,1,0,0,"
5","
-2"
保罗-米尔萨普,F,30,8-14,2-3,3-3,2,6,"
8","
2",4,1,3,1,"
21","
-2"
尼古拉-约基奇,C,34,4-12,0-2,5-6,1,4,"
5","
8",4,3,5,0,"
13","
-6"
杰拉米-格兰特,F,18,2-4,1-3,0-0,1,1,"
2","
2",2,0,0,1,"
5","
-7"
梅森-普拉姆利,F-C,14,2-4,0-1,2-2,0,6,"
6","
3",5,0,1,0,"
6","
-3"
马利克-比斯利,G,13,3-11,0-3,0-0,0,0,"
0","
0",0,0,0,0,"
6","
-3"
胡安-埃尔南戈麦斯,F,12,2-5,0-2,0-0,2,0,"
2","
0",1,1,0,0,"
4","
-9"
蒙特-莫里斯,G,12,2-4,1-1,0-0,0,0,"
0","
2",2,0,0,1,"
5","
-2"
托里-克雷格,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小迈克尔-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯塔维厄斯-考德威尔-波普,G,32,2-5,0-3,0-0,1,2,"
3","
3",0,3,3,0,"
4","
+3
"
丹尼-格林,G,31,2-12,1-7,0-0,1,6,"
7","
3",2,3,0,0,"
5","
+2
"
勒布朗-詹姆斯,F,37,9-18,1-4,6-6,2,4,"
6","
9",3,0,4,0,"
25","
+4
"
安东尼-戴维斯,F,37,9-18,1-3,6-9,3,7,"
10","
1",3,0,1,1,"
25","
+11
"
贾维尔-麦基,C,14,2-5,0-0,0-0,2,4,"
6","
0",3,0,1,1,"
4","
-6
"
拉简-隆多,G,25,4-6,2-2,1-2,0,6,"
6","
6",1,1,2,0,"
11","
+8"
凯尔-库兹马,F,19,2-6,0-0,2-2,1,4,"
5","
2",1,0,3,0,"
6","
+8"
德怀特-霍华德,C,19,5-8,0-1,3-8,2,4,"
6","
0",4,0,1,2,"
13","
-2"
亚历克斯-卡鲁索,G,16,2-3,0-1,2-2,1,3,"
4","
0",6,1,1,1,"
6","
+11"
特洛伊-丹尼尔斯,G,10,2-3,2-3,0-1,1,2,"
3","
0",0,0,0,0,"
6","
+6"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小扎克-诺维尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃弗里-布拉德利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
