马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,37,10-13,5-6,0-3,0,2,"
2","
4",6,0,2,0,"
25","
-1"
德里克-怀特,G,26,5-9,1-4,1-1,1,0,"
1","
3",2,0,1,0,"
12","
-24"
德马尔-德罗赞,F,41,9-25,0-1,5-6,1,4,"
5","
9",3,0,3,0,"
23","
-12"
鲁迪-盖伊,F,23,4-12,0-2,6-6,1,4,"
5","
2",0,1,2,1,"
14","
-19"
雅各布-珀尔特尔,C,41,3-6,0-0,0-1,5,10,"
15","
5",3,1,2,5,"
6","
-3"
帕蒂-米尔斯,G,36,2-8,2-7,3-3,0,6,"
6","
6",1,0,1,0,"
9","
+11"
朗尼-沃克,G-F,35,10-18,4-7,4-6,0,4,"
4","
0",5,3,2,1,"
28","
+29"
特雷-莱尔斯,F,20,3-6,1-3,0-0,2,7,"
9","
3",1,2,1,1,"
7","
+7"
德章泰-默里,G,18,3-8,0-0,1-2,2,3,"
5","
2",4,2,1,0,"
7","
+17"
德马雷-卡罗尔,F,8,0-0,0-0,2-4,0,2,"
2","
0",2,1,4,0,"
2","
+4"
德鲁-尤班克斯,F-C,6,1-1,0-0,0-0,0,2,"
2","
1",0,0,1,0,"
2","
+1"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉马库斯-阿尔德里奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,49,11-38,4-20,24-24,3,6,"
9","
6",4,4,4,0,"
50","
-3
"
拉塞尔-威斯布鲁克,G,48,7-30,1-6,4-4,2,8,"
10","
10",6,2,5,1,"
19","
-8
"
PJ-塔克,F,52,4-8,2-5,0-0,2,7,"
9","
2",5,3,1,2,"
10","
+11
"
本-麦克勒摩,F,27,4-9,3-8,0-0,0,1,"
1","
1",1,0,1,1,"
11","
+18
"
克林特-卡佩拉,C,45,9-9,0-0,4-6,8,13,"
21","
2",4,1,1,2,"
22","
+16
"
奥斯汀-里弗斯,G,40,6-8,5-6,2-2,1,3,"
4","
1",3,1,3,1,"
19","
-13"
克里斯-克莱蒙斯,G,11,0-6,0-3,0-0,0,0,"
0","
0",2,0,0,0,"
0","
-5"
加里-克拉克,F,8,0-3,0-3,0-0,1,1,"
2","
0",3,0,1,0,"
0","
-15"
泰森-钱德勒,C,7,1-1,0-0,0-0,1,1,"
2","
0",2,0,0,0,"
2","
-10"
萨博-塞福洛沙,F-G,3,0-0,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
0","
-1"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹纽尔-豪斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
