魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,28,9-15,3-7,0-0,1,1,"
2","
4",3,1,4,0,"
21","
+1"
马克尔-富尔茨,G,26,6-12,0-0,1-1,0,4,"
4","
5",1,0,1,1,"
13","
+4"
阿龙-戈登,F,34,13-15,5-5,1-2,0,5,"
5","
5",1,1,1,0,"
32","
+12"
乔纳森-艾萨克,F,28,3-9,0-1,1-2,2,2,"
4","
1",0,2,1,1,"
7","
+6"
肯-伯奇,C,29,3-4,0-0,1-2,4,5,"
9","
2",2,1,1,0,"
7","
0"
DJ-奥古斯丁,G,26,2-8,1-4,6-6,1,2,"
3","
7",1,1,3,0,"
11","
+23"
特伦斯-罗斯,G-F,22,7-14,3-6,5-5,0,3,"
3","
1",4,2,2,0,"
22","
+18"
韦斯利-艾旺杜,F,19,2-2,0-0,0-0,0,2,"
2","
2",1,0,0,1,"
4","
+20"
穆罕默德-班巴,C,18,4-4,2-2,0-0,3,8,"
11","
0",3,1,3,4,"
10","
+14"
BJ-约翰逊,F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-7"
约什-马杰特,G,3,0-1,0-0,1-2,0,1,"
1","
0",0,0,3,0,"
1","
-7"
梅尔文-弗雷泽,G-F,3,0-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-7"
阿米尔-杰弗森,F,3,0-0,0-0,0-0,0,1,"
1","
0",2,0,0,0,"
0","
-7"
尼古拉-武切维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,30,7-16,2-5,1-2,0,3,"
3","
5",2,0,2,0,"
17","
-5
"
里基-卢比奥,G,25,2-9,0-3,0-0,2,1,"
3","
9",2,1,0,0,"
4","
-6
"
达里奥-沙里奇,F,26,3-7,1-4,3-4,3,3,"
6","
2",3,0,2,0,"
10","
-3
"
凯利-乌布雷,F,23,3-8,1-3,1-2,1,2,"
3","
2",4,2,0,0,"
8","
-2
"
弗兰克-卡明斯基,C,26,10-12,3-4,0-1,1,4,"
5","
3",1,1,1,0,"
23","
-1
"
米卡尔-布里奇斯,F,25,5-8,2-4,3-5,0,1,"
1","
1",2,0,1,0,"
15","
-14"
卡梅伦-约翰逊,F,25,4-9,4-6,0-0,0,1,"
1","
1",4,1,1,0,"
12","
-12"
谢赫-迪亚洛,F-C,19,6-8,1-1,3-4,1,3,"
4","
0",0,2,1,0,"
16","
-10"
泰-杰罗姆,G-F,18,2-6,1-1,0-0,0,1,"
1","
7",0,2,5,0,"
5","
-16"
杰文-卡特,G,18,0-3,0-1,0-0,0,2,"
2","
4",2,1,0,0,"
0","
-9"
埃利-奥科博,G-F,5,1-2,0-1,2-2,0,0,"
0","
2",0,0,0,0,"
4","
+8"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
