尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗朗克-尼利基纳,G,24,3-5,3-4,0-0,0,0,"
0","
1",2,0,1,0,"
9","
-20"
RJ-巴雷特,G,22,4-10,1-5,0-0,1,2,"
3","
5",2,3,3,1,"
9","
-21"
马库斯-莫里斯,F,26,4-13,2-9,0-0,0,2,"
2","
2",2,0,0,1,"
10","
-16"
朱利叶斯-兰德尔,F,21,2-9,0-3,2-4,0,4,"
4","
4",0,0,1,0,"
6","
-18"
泰-吉布森,C,18,2-3,0-1,0-0,1,1,"
2","
2",1,0,0,1,"
4","
-16"
米切尔-罗宾逊,C-F,30,6-8,0-0,5-8,3,4,"
7","
1",0,2,0,1,"
17","
-21"
博比-波蒂斯,F,27,3-8,0-3,4-5,0,4,"
4","
0",4,0,1,1,"
10","
-19"
凯文-诺克斯,F,22,3-8,2-4,0-0,0,2,"
2","
0",0,1,0,1,"
8","
-21"
丹尼斯-史密斯,G,18,1-7,0-2,2-4,0,3,"
3","
4",2,0,2,1,"
4","
-7"
埃尔弗里德-佩顿,G,11,2-5,0-0,0-0,0,2,"
2","
2",2,0,4,0,"
4","
-17"
韦恩-艾灵顿,G,11,1-3,0-1,0-0,0,1,"
1","
1",0,3,1,0,"
2","
-5"
阿朗佐-特里尔,G,6,2-3,0-1,2-2,0,2,"
2","
0",1,0,1,0,"
6","
-3"
丹伊恩-多特森,G,4,1-1,1-1,0-0,0,1,"
1","
1",0,0,0,0,"
3","
-1"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,22,5-9,1-3,3-4,2,1,"
3","
4",0,0,1,0,"
14","
+10
"
加里-哈里斯,G,22,3-4,2-2,0-0,0,2,"
2","
2",0,1,1,0,"
8","
0
"
威尔-巴顿,F,24,6-9,4-4,1-2,0,2,"
2","
2",2,1,0,0,"
17","
+11
"
保罗-米尔萨普,F,22,4-10,1-4,1-2,2,4,"
6","
3",2,0,2,2,"
10","
+13
"
尼古拉-约基奇,C,25,3-7,0-1,0-0,1,9,"
10","
8",2,0,0,1,"
6","
+10
"
蒙特-莫里斯,G,26,6-9,1-3,2-2,0,3,"
3","
6",4,3,1,1,"
15","
+27"
胡安-埃尔南戈麦斯,F,24,4-12,4-8,0-0,1,2,"
3","
4",2,0,1,0,"
12","
+26"
马利克-比斯利,G,24,5-9,3-6,1-2,0,2,"
2","
1",0,0,1,0,"
14","
+33"
杰拉米-格兰特,F,21,6-9,3-5,1-4,0,3,"
3","
1",2,0,1,0,"
16","
+26"
梅森-普拉姆利,F-C,21,5-5,0-0,1-2,3,8,"
11","
6",3,3,3,1,"
11","
+32"
小迈克尔-波特,F,5,2-4,2-3,0-0,0,3,"
3","
1",1,0,2,0,"
6","
-2"
托里-克雷格,F,5,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-1"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
