活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢克-肯纳德,G,32,5-8,2-3,3-3,0,1,"
1","
4",4,0,5,0,"
15","
+22"
布鲁斯-布朗,G,24,2-6,1-1,0-0,2,6,"
8","
6",3,0,1,1,"
5","
+11"
布雷克-格里芬,F,32,7-17,3-7,8-12,0,3,"
3","
5",0,2,2,1,"
25","
+2"
托尼-斯内尔,F,26,2-3,1-1,0-0,0,2,"
2","
0",1,0,0,0,"
5","
-3"
安德烈-德拉蒙德,C,41,9-17,0-1,7-9,7,15,"
22","
1",5,3,1,2,"
25","
+17"
兰斯顿-加洛韦,G,28,2-8,1-7,0-0,0,2,"
2","
0",1,1,0,0,"
5","
+4"
德里克-罗斯,G,26,7-17,0-1,0-0,2,4,"
6","
5",0,1,2,0,"
14","
-3"
克里斯蒂安-伍德,F,17,4-7,2-2,1-2,3,1,"
4","
0",1,0,4,1,"
11","
+3"
斯维亚托斯拉夫-米哈伊柳克,G-F,9,1-4,1-2,0-0,0,1,"
1","
0",0,0,1,0,"
3","
-10"
索恩-梅克,F-C,6,0-0,0-0,0-0,0,2,"
2","
0",2,0,1,0,"
0","
-8"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马基夫-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塞古-敦布亚,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-杰克逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂姆-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰里米-兰姆,G,34,4-10,2-5,2-2,1,4,"
5","
4",2,2,1,0,"
12","
-5
"
马尔科姆-布罗格登,G,32,7-14,2-4,5-6,0,5,"
5","
5",2,1,3,0,"
21","
-4
"
多曼塔斯-萨博尼斯,F,34,7-16,0-1,4-6,2,11,"
13","
5",5,1,2,1,"
18","
+5
"
TJ-沃伦,F,30,11-18,1-3,3-3,1,0,"
1","
1",3,0,1,0,"
26","
-5
"
迈尔斯-特纳,C,35,1-8,0-3,2-3,1,2,"
3","
2",4,2,1,4,"
4","
-7
"
贾斯廷-霍勒迪,F-G,25,1-2,0-1,0-0,0,3,"
3","
0",0,1,1,3,"
2","
-7"
道格-麦克德莫特,F,16,4-7,2-4,0-0,0,2,"
2","
4",1,1,0,0,"
10","
-3"
阿龙-霍勒迪,G,16,3-3,2-2,0-0,0,0,"
0","
0",0,0,1,0,"
8","
-3"
TJ-麦康奈尔,G,12,0-4,0-0,0-0,0,1,"
1","
3",0,0,1,0,"
0","
-2"
戈加-比塔泽,C-F,6,0-1,0-1,0-0,0,0,"
0","
0",1,0,0,1,"
0","
-4"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
