雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,42,8-13,1-1,12-12,1,4,"
5","
2",2,1,3,0,"
29","
+9"
克里斯-保罗,G,37,11-20,1-3,7-7,1,3,"
4","
7",4,0,0,2,"
30","
+19"
达尼罗-加里纳利,F,37,7-16,2-9,5-5,0,7,"
7","
3",0,2,1,1,"
21","
+1"
阿卜杜勒-纳迪尔,F,30,1-3,0-1,4-4,0,2,"
2","
0",1,0,1,1,"
6","
-6"
史蒂文-亚当斯,C,36,9-13,0-1,4-8,6,5,"
11","
2",4,2,2,4,"
22","
+5"
丹尼斯-施罗德,G,39,10-17,1-3,4-4,0,2,"
2","
2",4,1,2,1,"
25","
+13"
纳伦斯-诺埃尔,C-F,17,2-2,0-0,0-0,1,2,"
3","
3",4,0,0,0,"
4","
+7"
达里厄斯-贝兹利,F-G,16,1-2,0-0,0-0,0,4,"
4","
0",1,1,1,0,"
2","
+12"
吕冈茨-多尔特,G,7,0-1,0-0,0-0,0,1,"
1","
0",0,1,0,0,"
0","
-5"
德文-霍尔,G,4,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+5"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-弗格森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰夫-蒂格,G,40,12-17,4-5,4-4,1,4,"
5","
9",2,2,4,0,"
32","
0
"
贾勒特-卡尔弗,G,26,4-13,0-6,1-2,0,1,"
1","
0",1,2,0,0,"
9","
-4
"
罗伯特-科温顿,F,38,6-11,1-5,2-2,2,5,"
7","
2",5,0,2,0,"
15","
-2
"
约什-奥科吉,F,33,5-8,2-3,0-0,1,2,"
3","
1",3,0,3,0,"
12","
+11
"
卡尔-安东尼-唐斯,C,37,11-16,5-9,3-4,1,4,"
5","
8",5,2,0,2,"
30","
-4
"
乔丹-贝尔,F,21,5-8,0-1,2-6,1,4,"
5","
2",2,0,0,0,"
12","
+1"
凯塔-贝茨-迪奥普,F,19,0-7,0-4,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-16"
戈尔吉-吉昂,C,15,1-4,0-1,0-0,1,2,"
3","
1",2,1,1,0,"
2","
-10"
特雷韦恩-格雷厄姆,G-F,14,1-3,0-1,0-0,3,0,"
3","
0",4,1,1,0,"
2","
-19"
沙巴兹-内皮尔,G,14,5-9,1-3,2-2,0,2,"
2","
0",2,0,1,0,"
13","
-9"
凯勒-马丁,F,7,0-0,0-0,0-0,0,1,"
1","
1",2,0,1,0,"
0","
-8"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德鲁-威金斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
