热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,42,6-11,2-6,4-4,0,3,"
3","
3",1,0,3,0,"
18","
+4"
邓肯-罗宾逊,G,22,3-9,3-8,0-0,1,3,"
4","
0",4,3,0,0,"
9","
+2"
吉米-巴特勒,F,44,3-14,0-5,17-21,1,5,"
6","
7",4,1,3,1,"
23","
0"
巴姆-阿德巴约,F,41,7-9,0-1,7-9,4,9,"
13","
6",4,3,7,1,"
21","
+9"
迈耶斯-伦纳德,C,14,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-7"
泰勒-希罗,G,41,10-22,5-11,2-2,0,6,"
6","
3",2,1,2,0,"
27","
+6"
小德里克-琼斯,F-G,26,1-4,0-0,1-2,1,3,"
4","
1",4,0,0,0,"
3","
+12"
凯利-奥利尼克,F-C,25,1-4,1-3,0-0,0,2,"
2","
0",2,1,1,0,"
3","
+1"
克里斯-席尔瓦,F,10,1-3,0-0,4-6,3,1,"
4","
0",2,0,1,0,"
6","
-2"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈兰-德拉季奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,41,5-19,1-8,7-9,0,6,"
6","
3",5,2,7,0,"
18","
-9
"
托马什-萨托兰斯基,G,23,2-8,0-1,2-2,1,2,"
3","
2",1,0,0,0,"
6","
-2
"
劳里-马尔卡宁,F,38,8-15,4-10,2-2,3,4,"
7","
2",1,1,1,0,"
22","
-1
"
克里斯-邓恩,F,34,6-9,0-0,4-5,0,5,"
5","
2",6,3,1,0,"
16","
-4
"
温德尔-卡特,C,40,2-3,0-0,3-4,1,9,"
10","
0",5,1,0,0,"
7","
+13
"
科比-怀特,G,32,3-9,3-7,2-2,1,3,"
4","
8",2,0,3,0,"
11","
-4"
赛迪斯-杨,F,23,5-10,2-5,0-1,0,4,"
4","
0",3,0,1,0,"
12","
-9"
登泽尔-瓦伦丁,G,14,4-5,3-4,0-0,0,0,"
0","
1",3,0,0,1,"
11","
+1"
沙奎尔-哈里森,G,9,0-1,0-0,2-2,0,0,"
0","
1",2,1,1,0,"
2","
+1"
里安-阿尔奇迪亚科诺,G,7,0-1,0-1,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-1"
卢克-科内特,F-C,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-7"
丹尼尔-加福德,F-C,2,0-0,0-0,0-0,0,0,"
0","
0",3,0,0,0,"
0","
-3"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
