步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,30,7-15,2-6,4-4,0,0,"
0","
2",3,2,3,0,"
20","
-17"
杰里米-兰姆,G,24,5-12,1-4,1-5,2,2,"
4","
0",2,1,2,0,"
12","
-18"
多曼塔斯-萨博尼斯,F,36,7-18,0-2,4-6,4,18,"
22","
4",2,1,1,1,"
18","
+14"
TJ-沃伦,F,29,2-8,0-2,8-9,0,8,"
8","
0",5,1,2,0,"
12","
-3"
迈尔斯-特纳,C,25,2-9,1-4,0-0,3,2,"
5","
3",2,0,3,1,"
5","
-21"
道格-麦克德莫特,F,30,6-9,5-8,0-0,1,5,"
6","
0",4,0,1,0,"
17","
-8"
TJ-麦康奈尔,G,24,3-9,0-0,2-2,1,2,"
3","
1",0,0,1,1,"
8","
+9"
贾斯廷-霍勒迪,F-G,23,1-8,1-6,0-0,2,2,"
4","
2",2,1,0,0,"
3","
-7"
阿龙-霍勒迪,G,13,1-7,0-3,2-2,0,3,"
3","
2",1,1,0,0,"
4","
-2"
埃德蒙-萨姆纳,G,6,0-1,0-0,0-0,0,0,"
0","
2",0,0,0,0,"
0","
+6"
戈加-比塔泽,C-F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-8"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特里克-贝弗利,G,39,5-7,1-2,0-0,1,11,"
12","
5",3,3,3,0,"
11","
+9
"
保罗-乔治,G,36,10-26,7-16,9-11,0,9,"
9","
5",3,2,3,1,"
36","
+20
"
莫里斯-哈克利斯,F,35,3-8,0-2,2-4,5,9,"
14","
0",1,0,0,1,"
8","
-6
"
帕特里克-帕特森,F,15,1-5,1-4,2-2,0,0,"
0","
0",1,1,0,0,"
5","
+5
"
伊维察-祖巴茨,C,21,5-7,0-0,3-3,3,5,"
8","
2",0,0,0,1,"
13","
+11
"
路易斯-威廉姆斯,G,33,2-19,0-5,2-2,0,1,"
1","
6",2,0,1,1,"
6","
+12"
蒙特雷兹-哈勒尔,F-C,30,12-22,0-0,2-5,3,5,"
8","
1",3,0,1,1,"
26","
+8"
德里克-沃顿,G,19,1-2,1-2,0-0,0,2,"
2","
0",1,1,0,0,"
3","
-6"
杰罗姆-罗宾逊,G,13,1-2,0-1,0-0,0,3,"
3","
0",2,0,2,0,"
2","
+2"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-麦格鲁德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰迈克尔-格林,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
