76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,37,3-6,0-1,1-4,2,7,"
9","
7",3,1,4,0,"
7","
-2"
约什-理查德森,G,19,1-8,1-3,0-0,1,0,"
1","
0",1,1,0,0,"
3","
-11"
托拜厄斯-哈里斯,F,36,7-17,2-4,4-5,1,6,"
7","
4",2,1,1,2,"
20","
+9"
艾尔-霍弗德,F,31,5-16,1-8,0-0,3,6,"
9","
2",2,2,4,0,"
11","
-2"
乔尔-恩比德,C,31,8-18,0-3,6-7,2,8,"
10","
6",3,2,4,1,"
22","
-8"
马蒂斯-赛布尔,F-G,26,5-8,3-4,0-0,2,3,"
5","
1",2,1,0,0,"
13","
+20"
詹姆斯-恩尼斯,F,18,3-5,1-3,0-0,1,2,"
3","
0",2,0,0,0,"
7","
+7"
富尔坎-科尔克马兹,G-F,17,2-4,2-4,0-0,0,3,"
3","
2",0,0,0,0,"
6","
+9"
迈克-斯科特,F,14,3-7,2-6,0-0,0,1,"
1","
0",0,1,0,0,"
8","
-4"
劳尔-内托,G,11,0-0,0-0,0-0,0,1,"
1","
2",0,0,2,0,"
0","
+7"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢克-米尔顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-伯克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,33,5-12,1-5,3-3,0,2,"
2","
5",2,2,1,0,"
14","
+4
"
贾马尔-默里,G,5,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+3
"
威尔-巴顿,F,40,10-19,2-7,4-5,1,6,"
7","
7",1,2,2,2,"
26","
+10
"
保罗-米尔萨普,F,29,4-8,0-2,2-2,2,4,"
6","
0",0,3,1,1,"
10","
+11
"
尼古拉-约基奇,C,33,7-13,1-4,0-0,0,7,"
7","
11",2,0,2,1,"
15","
+8
"
蒙特-莫里斯,G,31,3-9,1-2,0-0,0,3,"
3","
2",1,1,1,2,"
7","
-1"
杰拉米-格兰特,F,19,1-6,1-3,0-0,0,1,"
1","
3",4,2,0,2,"
3","
-16"
梅森-普拉姆利,F-C,15,1-3,0-0,0-0,0,4,"
4","
1",1,2,4,0,"
2","
-13"
小迈克尔-波特,F,14,2-7,0-0,2-2,2,4,"
6","
0",2,0,0,0,"
6","
-9"
马利克-比斯利,G,12,2-5,1-3,0-0,0,1,"
1","
0",0,0,1,0,"
5","
-12"
托里-克雷格,F,8,2-2,0-0,0-0,0,0,"
0","
0",1,0,1,1,"
4","
-10"
胡安-埃尔南戈麦斯,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
