开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,31,5-14,1-8,2-2,0,4,"
4","
3",3,0,2,1,"
13","
+11"
达米安-利拉德,G,29,9-15,8-12,5-5,0,2,"
2","
6",2,0,3,0,"
31","
+28"
卡梅罗-安东尼,F,25,5-13,3-4,3-6,0,4,"
4","
0",2,2,3,1,"
16","
+12"
肯特-贝兹莫尔,F,22,1-5,0-3,2-2,0,3,"
3","
0",1,1,1,0,"
4","
+18"
哈桑-怀特塞德,C,26,7-11,0-0,3-3,4,11,"
15","
2",1,0,1,5,"
17","
+28"
安芬尼-西蒙斯,G,29,5-9,4-7,2-2,0,5,"
5","
3",3,0,0,0,"
16","
+8"
马里奥-海佐尼亚,F-G,23,2-3,0-0,1-2,3,7,"
10","
1",3,1,1,0,"
5","
+5"
斯卡尔-拉比西埃,F-C,21,0-3,0-1,0-0,1,5,"
6","
1",4,0,0,0,"
0","
+13"
纳西尔-利特尔,G,11,2-5,0-1,2-2,1,1,"
2","
4",1,1,0,0,"
6","
+5"
小加里-特伦特,G-F,10,0-5,0-3,0-0,0,3,"
3","
0",1,1,1,0,"
0","
+14"
安东尼-托利弗,F,6,1-3,1-2,0-0,0,2,"
2","
0",0,0,0,0,"
3","
-2"
杰伦-赫尔德,F,6,2-4,0-0,0-0,2,0,"
2","
0",0,0,0,0,"
4","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,19,1-9,0-2,3-4,0,4,"
4","
0",0,0,0,0,"
5","
-18
"
弗朗克-尼利基纳,G,18,1-5,0-2,0-0,0,0,"
0","
1",1,1,1,0,"
2","
-21
"
朱利叶斯-兰德尔,F,26,6-11,1-4,2-3,1,6,"
7","
3",2,1,2,0,"
15","
-21
"
马库斯-莫里斯,F,25,4-11,1-6,1-1,1,2,"
3","
0",2,0,3,0,"
10","
-25
"
泰-吉布森,C,16,0-2,0-1,0-0,1,3,"
4","
2",3,1,2,0,"
0","
-20
"
米切尔-罗宾逊,C-F,27,5-8,0-0,4-7,4,1,"
5","
0",3,0,1,1,"
14","
-6"
丹伊恩-多特森,G,23,3-8,2-6,0-0,1,3,"
4","
0",0,0,0,0,"
8","
-8"
凯文-诺克斯,F,20,1-7,0-4,0-0,0,3,"
3","
3",1,0,0,1,"
2","
-3"
博比-波蒂斯,F,20,4-9,0-3,3-4,2,8,"
10","
0",2,1,1,1,"
11","
-5"
阿朗佐-特里尔,G,14,4-9,2-5,3-5,0,0,"
0","
2",0,0,1,0,"
13","
-1"
丹尼斯-史密斯,G,14,2-7,1-2,0-2,1,3,"
4","
0",1,0,0,0,"
5","
-8"
埃尔弗里德-佩顿,G,13,1-4,0-2,0-0,0,2,"
2","
4",2,1,0,0,"
2","
-2"
伊格纳斯-布拉兹代基斯,F,5,0-1,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-2"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
