公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,25,12-16,7-7,4-4,0,2,"
2","
4",3,1,3,1,"
35","
+10"
托马什-萨托兰斯基,G,24,3-5,1-1,0-0,0,2,"
2","
3",0,1,3,0,"
7","
+16"
劳里-马尔卡宁,F,23,8-9,2-3,4-5,2,2,"
4","
2",3,0,1,1,"
22","
+21"
克里斯-邓恩,F,23,4-9,0-3,1-1,0,3,"
3","
2",2,3,1,1,"
9","
+20"
温德尔-卡特,C,23,5-8,0-0,1-1,3,7,"
10","
1",3,0,0,0,"
11","
+9"
赛迪斯-杨,F,33,7-16,1-3,0-0,0,9,"
9","
6",3,3,2,0,"
15","
+33"
科比-怀特,G,25,7-13,0-2,5-6,0,2,"
2","
4",0,1,1,1,"
19","
+20"
登泽尔-瓦伦丁,G,22,4-8,0-3,2-2,0,3,"
3","
5",1,4,1,2,"
10","
+22"
里安-阿尔奇迪亚科诺,G,17,0-1,0-0,0-0,0,2,"
2","
0",3,0,0,0,"
0","
+8"
丹尼尔-加福德,F-C,10,2-3,0-0,0-0,0,0,"
0","
2",6,0,1,1,"
4","
+3"
沙奎尔-哈里森,G,8,2-4,0-1,0-0,1,2,"
3","
3",0,2,0,0,"
4","
+4"
卢克-科内特,F-C,7,0-2,0-1,0-0,1,1,"
2","
0",1,0,0,0,"
0","
+4"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,32,4-14,1-6,6-7,0,2,"
2","
13",3,2,7,0,"
15","
-17
"
凯文-赫尔特,G,24,3-9,1-6,2-2,1,1,"
2","
4",2,1,2,0,"
9","
-24
"
德安德烈-亨特,F,24,2-9,2-5,0-0,1,1,"
2","
1",1,0,0,1,"
6","
-1
"
贾巴里-帕克,F,21,5-10,1-2,0-0,2,5,"
7","
0",2,1,2,1,"
11","
-9
"
达米安-琼斯,C,14,5-6,0-0,0-0,1,2,"
3","
0",4,0,1,1,"
10","
-12
"
卡姆-雷迪什,F-G,29,4-11,3-9,5-8,1,5,"
6","
1",4,0,3,1,"
16","
-23"
阿伦-克拉布,G-F,22,2-4,2-4,0-0,0,1,"
1","
1",0,0,0,0,"
6","
-24"
亚历克斯-莱恩,C,20,7-9,1-1,2-4,3,2,"
5","
3",2,0,0,0,"
17","
-18"
布鲁诺-费尔南多,F-C,13,1-3,0-0,3-3,1,3,"
4","
2",2,1,1,0,"
5","
-11"
文斯-卡特,G-F,13,1-5,1-2,1-2,0,3,"
3","
0",0,1,1,0,"
4","
-14"
埃文-特纳,G-F,13,0-1,0-1,0-0,0,3,"
3","
1",0,0,3,0,"
0","
-9"
钱德勒-帕森斯,F,8,1-2,1-2,0-0,0,2,"
2","
0",0,0,1,0,"
3","
-4"
德安德烈-本布里,G-F,8,0-0,0-0,0-0,0,1,"
1","
0",0,1,2,1,"
0","
-4"
蒂龙-华莱士,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
