勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
格伦-罗宾逊三世,G,36,6-14,2-6,3-4,2,2,"
4","
2",4,1,1,0,"
17","
-7"
丹吉洛-拉塞尔,G,36,12-27,6-14,2-3,0,3,"
3","
6",5,2,2,0,"
32","
0"
德雷蒙德-格林,F,39,5-11,1-5,3-4,0,10,"
10","
12",2,4,2,0,"
14","
-10"
埃里克-帕斯卡尔,F,17,2-6,0-1,1-2,0,1,"
1","
1",2,0,0,0,"
5","
-4"
威利-考利-斯坦,C,22,3-7,0-0,1-2,2,3,"
5","
0",2,0,0,3,"
7","
+5"
亚历克-伯克斯,G,33,6-14,1-4,5-5,1,4,"
5","
2",2,2,2,0,"
18","
+2"
马基斯-克里斯,F,24,4-8,0-1,4-6,6,4,"
10","
2",2,1,1,3,"
12","
-3"
奥马里-斯佩尔曼,F,16,1-4,0-2,1-1,2,4,"
6","
2",0,0,0,0,"
3","
+10"
凯-鲍曼,G,15,1-2,0-1,1-2,0,0,"
0","
0",1,0,0,0,"
3","
+3"
达米恩-李,G-F,15,3-7,0-3,0-0,0,1,"
1","
0",1,0,0,0,"
6","
+9"
雅各布-埃文斯,G-F,6,0-2,0-0,0-0,0,0,"
0","
0",3,0,0,0,"
0","
-6"
凯文-卢尼,F,5,2-2,0-0,1-1,1,0,"
1","
0",1,0,0,0,"
5","
-9"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-普尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,46,8-16,3-5,3-4,0,10,"
10","
3",5,1,3,1,"
22","
0
"
弗朗克-尼利基纳,G,13,1-3,0-1,0-0,0,0,"
0","
1",4,0,4,0,"
2","
-10
"
朱利叶斯-兰德尔,F,38,7-16,3-4,7-10,3,10,"
13","
5",4,0,4,0,"
24","
+13
"
马库斯-莫里斯,F,36,10-18,5-9,11-12,2,8,"
10","
3",3,3,1,0,"
36","
+5
"
泰-吉布森,C,14,0-1,0-0,0-0,0,4,"
4","
1",0,0,0,1,"
0","
+3
"
米切尔-罗宾逊,C-F,30,4-7,0-0,1-2,5,4,"
9","
1",3,0,0,3,"
9","
-4"
埃尔弗里德-佩顿,G,30,7-14,0-3,0-0,2,2,"
4","
5",2,1,5,0,"
14","
-1"
博比-波蒂斯,F,24,5-8,1-3,4-5,0,3,"
3","
2",0,0,1,0,"
15","
-8"
丹伊恩-多特森,G,17,0-3,0-2,0-1,0,2,"
2","
3",2,0,0,0,"
0","
+15"
凯文-诺克斯,F,17,1-4,0-2,0-0,0,3,"
3","
1",1,0,0,2,"
2","
-3"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
