太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,39,6-17,0-3,3-4,1,3,"
4","
10",1,1,1,0,"
15","
-15"
里基-卢比奥,G,38,7-15,1-6,7-7,0,1,"
1","
8",1,1,5,0,"
22","
-2"
凯利-乌布雷,F,38,5-13,1-4,3-3,2,11,"
13","
0",3,1,2,4,"
14","
+2"
达里奥-沙里奇,F,26,3-10,1-5,0-0,0,5,"
5","
5",5,0,0,0,"
7","
+4"
弗兰克-卡明斯基,C,26,9-12,4-4,2-3,0,5,"
5","
3",2,1,0,0,"
24","
+6"
卡梅伦-约翰逊,F,24,3-8,2-5,3-4,2,3,"
5","
1",1,1,2,0,"
11","
-1"
米卡尔-布里奇斯,F,21,1-2,0-1,1-2,0,3,"
3","
0",1,0,1,0,"
3","
-10"
阿隆-贝恩斯,C-F,18,3-10,0-4,6-7,3,3,"
6","
1",5,0,1,0,"
12","
-14"
泰-杰罗姆,G-F,10,0-6,0-2,0-0,0,2,"
2","
1",1,1,0,0,"
0","
-5"
杰德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃利-奥科博,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰文-卡特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,33,4-9,0-1,5-5,0,4,"
4","
6",2,1,2,0,"
13","
-6
"
狄龙-布鲁克斯,G,27,10-18,1-5,6-6,1,2,"
3","
1",2,2,3,0,"
27","
-10
"
杰-克劳德,F,32,4-11,2-4,3-5,1,6,"
7","
5",3,2,3,0,"
13","
+11
"
小贾伦-杰克逊,F,32,10-18,3-7,1-2,0,6,"
6","
4",6,0,2,1,"
24","
+6
"
约纳斯-瓦兰丘纳斯,C,25,3-9,0-0,0-0,1,8,"
9","
1",2,0,1,0,"
6","
-10
"
布兰登-克拉克,F-G,22,5-6,2-2,3-5,0,7,"
7","
0",2,0,1,2,"
15","
+18"
丹东尼-梅尔顿,G,19,3-4,1-1,2-2,1,5,"
6","
3",5,0,1,1,"
9","
+22"
所罗门-希尔,F,17,0-4,0-3,0-0,1,4,"
5","
0",2,1,1,0,"
0","
0"
泰厄斯-琼斯,G,15,1-2,0-0,0-0,0,2,"
2","
2",0,1,0,0,"
2","
+13"
凯尔-安德森,F-G,13,1-4,0-0,1-1,1,4,"
5","
0",2,1,1,0,"
3","
+2"
马尔科-古杜里奇,G-F,6,1-1,1-1,0-0,1,0,"
1","
1",2,0,3,0,"
3","
-11"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格雷森-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
