森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,38,11-23,3-8,1-1,2,4,"
6","
3",1,3,2,0,"
26","
-6"
约什-奥科吉,G,31,3-8,3-5,4-4,1,4,"
5","
0",2,1,1,1,"
13","
+3"
罗伯特-科温顿,F,30,5-13,3-10,1-2,1,6,"
7","
2",5,2,2,0,"
14","
-16"
贾勒特-卡尔弗,F,21,2-8,0-2,0-2,2,1,"
3","
1",0,0,0,0,"
4","
-14"
卡尔-安东尼-唐斯,C,36,6-15,2-9,7-9,4,7,"
11","
3",5,1,5,0,"
21","
-2"
杰夫-蒂格,G,36,11-16,4-4,6-6,1,3,"
4","
6",1,1,0,1,"
32","
+3"
乔丹-贝尔,F,14,2-2,0-0,2-2,3,0,"
3","
0",0,0,0,1,"
6","
-1"
沙巴兹-内皮尔,G,13,0-2,0-1,0-0,0,0,"
0","
1",1,1,0,0,"
0","
-9"
戈尔吉-吉昂,C,11,0-2,0-1,0-0,1,1,"
2","
1",3,0,1,0,"
0","
-7"
特雷韦恩-格雷厄姆,G-F,10,0-2,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-6"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯勒-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,36,13-20,2-5,2-2,1,4,"
5","
6",3,0,2,1,"
30","
+5
"
乔-英格尔斯,G,36,9-14,3-6,2-2,1,4,"
5","
5",3,1,2,0,"
23","
+2
"
博扬-波格丹诺维奇,F,35,4-14,2-8,4-4,0,3,"
3","
3",2,0,6,0,"
14","
-1
"
罗伊斯-奥尼尔,F,31,2-7,2-5,0-0,0,5,"
5","
2",4,1,0,0,"
6","
-1
"
鲁迪-戈贝尔,C,36,8-11,0-0,4-7,7,9,"
16","
3",2,2,3,2,"
20","
-1
"
伊曼纽尔-穆迪埃,G,22,4-7,2-3,3-4,1,4,"
5","
2",4,0,1,2,"
13","
+15"
杰夫-格林,F,17,3-6,2-5,2-2,0,1,"
1","
1",1,0,1,0,"
10","
+12"
乔治-尼昂,F,14,3-3,3-3,0-0,0,2,"
2","
0",0,0,0,1,"
9","
+12"
埃德-戴维斯,C-F,12,1-1,0-0,0-1,1,2,"
3","
1",3,0,0,1,"
2","
+12"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱万-摩根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托尼-布拉德利,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-康利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
