掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,37,5-9,3-6,2-2,1,0,"
1","
2",3,0,1,0,"
15","
+10"
贾马尔-默里,G,28,4-11,2-5,2-3,0,6,"
6","
3",1,1,3,0,"
12","
-1"
威尔-巴顿,F,35,6-12,2-4,1-2,2,9,"
11","
4",2,1,0,0,"
15","
+4"
保罗-米尔萨普,F,16,3-7,0-1,0-0,2,3,"
5","
0",2,0,2,1,"
6","
-1"
尼古拉-约基奇,C,31,7-14,2-5,4-6,4,7,"
11","
6",2,0,1,0,"
20","
+3"
杰拉米-格兰特,F,31,7-12,5-6,1-4,0,5,"
5","
0",1,2,0,0,"
20","
+15"
蒙特-莫里斯,G,20,4-8,1-3,2-2,0,1,"
1","
7",0,2,0,0,"
11","
+16"
梅森-普拉姆利,F-C,18,2-6,0-0,0-0,4,1,"
5","
3",2,0,0,1,"
4","
+13"
托里-克雷格,F,14,2-5,1-2,0-0,2,0,"
2","
0",0,0,0,0,"
5","
+15"
小迈克尔-波特,F,10,2-4,2-4,0-0,0,1,"
1","
0",0,0,3,0,"
6","
+1"
马利克-比斯利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
胡安-埃尔南戈麦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,38,5-16,2-9,1-2,1,1,"
2","
11",0,1,2,0,"
13","
-11
"
CJ-麦科勒姆,G,37,6-11,3-7,0-1,0,2,"
2","
2",2,0,3,0,"
15","
+1
"
卡梅罗-安东尼,F,37,8-16,2-5,2-2,0,9,"
9","
1",1,2,2,2,"
20","
-3
"
肯特-贝兹莫尔,F,30,3-7,1-5,2-2,0,3,"
3","
2",3,0,1,0,"
9","
+7
"
哈桑-怀特塞德,C,35,15-21,1-1,2-2,3,8,"
11","
2",5,0,0,4,"
33","
-3
"
斯卡尔-拉比西埃,F-C,23,0-2,0-0,0-0,3,2,"
5","
3",3,0,0,0,"
0","
-21"
安芬尼-西蒙斯,G,22,4-9,0-3,1-2,0,0,"
0","
1",1,1,0,1,"
9","
-29"
马里奥-海佐尼亚,F-G,14,0-1,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
0","
-10"
小加里-特伦特,G-F,5,0-3,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-6"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-托利弗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
