灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,35,6-17,4-7,3-4,0,2,"
2","
3",4,0,4,1,"
19","
+1"
泰厄斯-琼斯,G,25,4-8,1-2,1-1,1,1,"
2","
7",1,1,1,0,"
10","
-4"
杰-克劳德,F,33,3-11,3-9,6-6,0,11,"
11","
4",2,1,2,1,"
15","
-3"
小贾伦-杰克逊,F,29,14-21,9-15,6-9,0,5,"
5","
1",5,0,3,1,"
43","
-5"
约纳斯-瓦兰丘纳斯,C,19,3-10,1-1,1-2,2,4,"
6","
2",2,0,1,0,"
8","
-2"
所罗门-希尔,F,30,3-10,2-7,0-0,2,0,"
2","
4",2,1,1,0,"
8","
-2"
丹东尼-梅尔顿,G,23,2-9,0-3,0-0,1,4,"
5","
5",5,2,0,1,"
4","
-9"
凯尔-安德森,F-G,19,2-4,0-0,1-1,3,3,"
6","
1",1,1,1,0,"
5","
-26"
布鲁诺-卡博克洛,F,14,1-3,0-1,0-0,2,2,"
4","
0",4,2,0,1,"
2","
-6"
马尔科-古杜里奇,G-F,13,0-5,0-4,0-0,0,2,"
2","
0",0,1,0,0,"
0","
-9"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-克拉克,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾-莫兰特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格雷森-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
韦斯利-马修斯,G,25,2-6,0-2,0-0,1,3,"
4","
0",4,0,0,0,"
4","
+4
"
埃里克-布莱索,G,17,3-6,0-1,6-6,0,4,"
4","
4",1,1,2,0,"
12","
+7
"
克里斯-米德尔顿,F,35,10-19,3-6,3-3,0,3,"
3","
3",2,1,6,0,"
26","
+3
"
扬尼斯-阿德托昆博,F,27,12-23,3-7,10-13,2,9,"
11","
2",4,1,4,0,"
37","
+26
"
布鲁克-洛佩斯,C,24,4-8,1-4,1-2,1,9,"
10","
2",4,0,1,3,"
10","
-2
"
乔治-希尔,G,29,2-5,1-2,3-3,2,4,"
6","
5",2,0,0,0,"
8","
+5"
DJ-威尔森,F,21,5-7,1-3,0-0,1,3,"
4","
1",2,0,0,0,"
11","
-11"
唐特-迪温琴佐,G,19,2-4,0-1,2-2,0,2,"
2","
3",1,1,1,0,"
6","
-5"
斯特林-布朗,G-F,19,3-6,2-3,0-0,2,2,"
4","
0",0,0,1,0,"
8","
+19"
帕特-康诺顿,G-F,16,1-2,0-1,0-0,0,5,"
5","
2",1,0,2,0,"
2","
+16"
罗宾-洛佩斯,C,8,0-1,0-0,3-4,0,2,"
2","
0",0,0,0,0,"
3","
+4"
萨纳西斯-阿德托昆博,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾森-伊利亚索瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-科沃尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
