掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,36,5-14,1-4,0-0,1,1,"
2","
5",3,0,2,0,"
11","
+13"
贾马尔-默里,G,33,6-15,1-6,1-2,0,5,"
5","
7",2,1,2,0,"
14","
+19"
杰拉米-格兰特,F,32,4-8,0-2,5-6,1,3,"
4","
1",4,1,2,1,"
13","
+16"
威尔-巴顿,F,29,7-14,1-3,3-4,3,3,"
6","
1",4,2,1,0,"
18","
+7"
尼古拉-约基奇,C,35,11-14,3-6,3-4,1,13,"
14","
12",2,1,3,0,"
28","
+15"
托里-克雷格,F,23,3-7,1-3,2-2,1,3,"
4","
0",5,1,0,0,"
9","
-3"
蒙特-莫里斯,G,23,3-3,0-0,1-1,0,1,"
1","
1",0,0,2,0,"
7","
-12"
梅森-普拉姆利,F-C,13,1-2,0-0,0-0,1,3,"
4","
3",1,0,2,1,"
2","
-7"
胡安-埃尔南戈麦斯,F,12,3-6,0-2,2-4,2,2,"
4","
0",1,0,1,0,"
8","
-3"
小迈克尔-波特,F,4,0-2,0-1,0-0,0,0,"
0","
0",1,0,0,1,"
0","
-5"
马利克-比斯利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-米尔萨普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,38,7-13,0-1,2-2,0,4,"
4","
3",4,0,2,0,"
16","
-5
"
克里斯-保罗,G,34,5-8,0-2,5-6,0,4,"
4","
10",2,4,3,0,"
15","
-9
"
达尼罗-加里纳利,F,30,1-13,1-7,4-4,0,4,"
4","
2",1,1,3,0,"
7","
-12
"
阿卜杜勒-纳迪尔,F,26,5-7,1-2,3-3,0,1,"
1","
2",3,1,2,0,"
14","
-19
"
史蒂文-亚当斯,C,31,9-15,0-0,0-2,6,8,"
14","
0",4,0,1,2,"
18","
-10
"
丹尼斯-施罗德,G,33,8-17,4-8,2-2,0,5,"
5","
4",3,0,3,0,"
22","
+7"
纳伦斯-诺埃尔,C-F,17,1-2,0-0,2-2,1,2,"
3","
0",4,1,1,0,"
4","
+2"
吕冈茨-多尔特,G,12,0-1,0-1,0-0,0,1,"
1","
1",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,11,1-3,0-2,0-0,0,1,"
1","
0",1,0,0,0,"
2","
+3"
达里厄斯-贝兹利,F-G,8,1-2,0-0,2-2,0,0,"
0","
0",1,0,0,1,"
4","
+3"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-弗格森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
