独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
小蒂姆-哈达威,G,42,11-22,6-14,0-0,0,5,"
5","
3",0,0,3,0,"
28","
-7"
卢卡-东契奇,G,2,0-1,0-1,2-2,0,1,"
1","
0",0,0,1,0,"
2","
-4"
克里斯塔普斯-波尔津吉斯,F,40,7-21,3-9,5-7,3,11,"
14","
2",4,1,1,2,"
22","
0"
多里安-芬尼-史密斯,F,37,1-3,0-1,1-2,1,5,"
6","
3",6,1,0,0,"
3","
-6"
德怀特-鲍威尔,C,27,3-6,1-2,1-3,2,2,"
4","
2",1,1,0,0,"
8","
-10"
杰伦-布伦森,G,34,7-16,3-6,1-2,0,7,"
7","
8",5,0,4,0,"
18","
+14"
马克西-克勒贝尔,F,30,7-9,2-3,1-1,1,2,"
3","
3",3,0,0,1,"
17","
+5"
塞思-库里,G,19,3-8,0-2,0-0,0,1,"
1","
2",1,0,1,0,"
6","
-1"
何塞-巴里亚,G,13,5-11,2-5,0-0,0,2,"
2","
5",3,0,0,0,"
12","
-2"
贾斯廷-杰克逊,F,12,1-3,0-1,0-0,0,3,"
3","
0",3,0,0,0,"
2","
+5"
德朗-赖特,G,9,0-1,0-0,0-0,1,1,"
2","
2",1,1,1,0,"
0","
-14"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,38,5-14,3-6,0-0,0,6,"
6","
4",4,1,3,0,"
13","
+9
"
邓肯-罗宾逊,G,36,3-10,3-10,0-0,0,6,"
6","
1",2,0,0,0,"
9","
-6
"
吉米-巴特勒,F,43,8-22,1-6,10-12,1,3,"
4","
7",2,1,2,0,"
27","
+7
"
巴姆-阿德巴约,F,37,7-12,0-0,4-7,2,9,"
11","
10",4,2,1,2,"
18","
+15
"
迈耶斯-伦纳德,C,16,4-7,2-5,0-0,0,4,"
4","
1",2,0,0,0,"
10","
+4
"
泰勒-希罗,G,39,4-14,3-6,8-8,1,5,"
6","
2",0,0,0,0,"
19","
+1"
小德里克-琼斯,F-G,29,3-6,1-3,2-3,0,4,"
4","
1",3,3,2,1,"
9","
-6"
凯利-奥利尼克,F-C,27,5-6,3-4,4-4,1,7,"
8","
1",1,1,0,0,"
17","
-4"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈兰-德拉季奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
