步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,25,4-11,1-5,2-2,1,0,"
1","
7",3,1,1,0,"
11","
+6"
杰里米-兰姆,G,25,3-9,1-4,2-2,1,5,"
6","
1",1,3,2,2,"
9","
+3"
多曼塔斯-萨博尼斯,F,34,5-10,0-0,2-2,2,10,"
12","
4",5,0,0,0,"
12","
+15"
TJ-沃伦,F,26,2-8,0-3,2-2,1,3,"
4","
2",0,0,0,0,"
6","
+7"
迈尔斯-特纳,C,26,6-14,2-7,0-2,0,10,"
10","
2",1,0,1,5,"
14","
+19"
TJ-麦康奈尔,G,23,6-10,0-1,0-0,0,2,"
2","
8",2,0,0,0,"
12","
+16"
贾斯廷-霍勒迪,F-G,22,4-8,1-4,0-0,0,2,"
2","
1",1,2,0,0,"
9","
+16"
道格-麦克德莫特,F,22,2-4,2-4,0-0,1,4,"
5","
1",3,0,1,0,"
6","
+11"
阿龙-霍勒迪,G,21,6-10,2-5,9-10,1,5,"
6","
2",4,0,2,0,"
23","
+19"
戈加-比塔泽,C-F,8,1-1,0-0,0-0,1,0,"
1","
1",3,0,1,2,"
2","
0"
TJ-利夫,F,3,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-1"
埃德蒙-萨姆纳,G,3,1-3,1-2,0-0,0,0,"
0","
1",0,0,1,0,"
3","
-1"
阿利兹-约翰逊 ,F,2,0-0,0-0,0-0,0,1,"
1","
0",2,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,37,3-18,3-14,3-6,0,6,"
6","
4",2,2,3,2,"
12","
-27
"
特里-罗齐尔,G,25,1-12,0-3,1-2,0,2,"
2","
3",3,1,1,0,"
3","
-4
"
迈尔斯-布里奇斯,F,35,4-12,1-6,1-1,0,4,"
4","
1",3,0,1,0,"
10","
-19
"
科迪-泽勒,F,29,6-11,0-1,7-10,6,6,"
12","
2",3,0,0,1,"
19","
-16
"
俾斯麦-比永博,C,28,5-10,0-0,1-2,8,9,"
17","
2",4,0,2,1,"
11","
-12
"
科迪-马丁,F-G,28,2-4,1-1,4-6,1,5,"
6","
1",3,1,1,1,"
9","
-9"
马利克-蒙克,G,25,5-13,0-4,4-4,1,4,"
5","
3",1,0,1,0,"
14","
-20"
迈克尔-基德-吉尔克里斯特,F,18,0-6,0-2,1-2,1,2,"
3","
1",2,0,1,0,"
1","
-3"
杰伦-麦克丹尼尔斯,F-C,4,1-3,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
2","
0"
吉列尔莫-埃尔南戈麦斯,C-F,4,1-2,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
2","
0"
凯莱布-马丁,F-G,4,0-0,0-0,2-2,0,0,"
0","
0",0,0,0,0,"
2","
0"
德维恩-培根,G-F,4,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-华盛顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
