老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,36,9-22,3-11,9-11,1,5,"
6","
7",2,2,6,0,"
30","
-4"
凯文-赫尔特,G,23,2-7,1-3,0-0,1,3,"
4","
2",1,1,3,1,"
5","
-4"
德安德烈-亨特,F,37,2-10,2-6,2-2,1,5,"
6","
2",5,1,4,1,"
8","
-12"
贾巴里-帕克,F,27,4-10,2-5,2-2,1,4,"
5","
1",5,1,1,1,"
12","
-13"
达米安-琼斯,C,21,3-4,0-0,4-4,0,3,"
3","
0",2,0,0,1,"
10","
-6"
卡姆-雷迪什,F-G,29,3-10,1-6,3-4,2,3,"
5","
0",3,1,3,1,"
10","
-3"
亚历克斯-莱恩,C,23,4-8,1-2,0-0,2,5,"
7","
3",3,0,1,0,"
9","
+3"
文斯-卡特,G-F,21,3-10,1-4,0-0,0,1,"
1","
2",4,1,0,0,"
7","
+10"
阿伦-克拉布,G-F,18,1-5,1-5,0-0,0,2,"
2","
1",2,1,1,0,"
3","
+5"
布鲁诺-费尔南多,F-C,3,0-0,0-0,2-2,0,3,"
3","
0",0,0,0,0,"
2","
-1"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-本布里,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯塔维厄斯-考德威尔-波普,G,27,4-11,0-2,3-5,2,1,"
3","
2",1,1,1,0,"
11","
0
"
丹尼-格林,G,21,2-8,0-5,6-6,1,5,"
6","
0",1,2,0,0,"
10","
+5
"
勒布朗-詹姆斯,F,37,12-21,4-10,4-7,1,12,"
13","
7",1,1,4,3,"
32","
+10
"
安东尼-戴维斯,F,35,11-23,0-6,5-7,2,11,"
13","
3",5,1,5,2,"
27","
-3
"
贾维尔-麦基,C,15,1-2,0-0,1-2,3,2,"
5","
1",1,1,5,1,"
3","
0
"
拉简-隆多,G,26,4-10,1-4,2-2,1,6,"
7","
5",1,2,2,0,"
11","
0"
埃弗里-布拉德利,G,24,1-6,0-2,1-2,0,0,"
0","
1",4,3,3,0,"
3","
+3"
德怀特-霍华德,C,23,1-1,0-0,0-0,2,5,"
7","
1",4,1,2,3,"
2","
+8"
贾里德-杜德利,F,17,0-0,0-0,0-0,0,0,"
0","
0",4,1,0,0,"
0","
0"
亚历克斯-卡鲁索,G,15,0-2,0-2,2-2,1,1,"
2","
1",2,1,0,0,"
2","
+2"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特洛伊-丹尼尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-库兹马,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
