火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉塞尔-威斯布鲁克,G,40,11-25,1-7,8-9,2,8,"
10","
4",1,1,5,1,"
31","
-10"
詹姆斯-哈登,G,36,10-29,4-13,4-4,3,5,"
8","
7",3,1,2,1,"
28","
+10"
PJ-塔克,F,38,3-6,2-5,1-2,2,9,"
11","
0",4,2,1,0,"
9","
+7"
丹纽尔-豪斯,F,27,2-8,0-3,0-0,2,2,"
4","
1",2,2,0,0,"
4","
-8"
克林特-卡佩拉,C,40,7-9,0-0,1-4,3,12,"
15","
5",2,1,4,3,"
15","
+7"
本-麦克勒摩,G,29,6-11,4-9,1-4,0,3,"
3","
1",1,1,0,0,"
17","
+11"
加里-克拉克,F,11,0-3,0-3,3-4,1,3,"
4","
0",3,0,0,1,"
3","
-4"
奥斯汀-里弗斯,G,11,1-5,0-2,0-0,0,2,"
2","
2",2,1,0,0,"
2","
+3"
萨博-塞福洛沙,F-G,6,0-2,0-1,0-0,1,0,"
1","
0",1,0,0,0,"
0","
-6"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,29,8-15,0-2,0-0,2,3,"
5","
3",3,2,3,1,"
16","
-1
"
布林-福布斯,G,29,6-12,6-9,0-0,0,2,"
2","
0",4,1,3,0,"
18","
+5
"
德马尔-德罗赞,F,31,5-13,0-1,2-2,0,5,"
5","
5",2,0,4,0,"
12","
-14
"
特雷-莱尔斯,F,20,3-6,1-3,1-2,0,4,"
4","
0",1,0,0,0,"
8","
-2
"
拉马库斯-阿尔德里奇,C,38,7-15,1-3,4-4,3,10,"
13","
4",3,1,0,2,"
19","
-10
"
德里克-怀特,G,24,4-9,2-3,6-8,1,5,"
6","
3",2,0,2,0,"
16","
0"
鲁迪-盖伊,F-G,21,4-9,2-5,2-2,2,10,"
12","
3",3,1,2,1,"
12","
+10"
帕蒂-米尔斯,G,19,1-4,0-2,2-2,0,1,"
1","
1",0,0,1,0,"
4","
-7"
雅各布-珀尔特尔,C,10,1-3,0-0,0-0,1,1,"
2","
3",1,0,1,0,"
2","
+8"
朗尼-沃克,G-F,10,0-1,0-1,0-0,0,2,"
2","
0",2,0,2,0,"
0","
+7"
马科-贝里内利,G,10,0-5,0-4,0-0,0,2,"
2","
1",1,0,0,0,"
0","
-6"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
