鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,38,9-28,2-7,1-1,2,3,"
5","
6",5,1,0,2,"
21","
+5"
朗佐-鲍尔,G,35,4-13,1-5,1-3,1,7,"
8","
4",0,0,2,0,"
10","
-9"
布兰登-英格拉姆,F,41,7-23,1-5,7-9,3,7,"
10","
1",2,0,2,2,"
22","
-13"
肯里奇-威廉姆斯,F,26,1-8,1-6,0-0,2,4,"
6","
0",1,1,0,0,"
3","
-11"
德里克-费沃斯,C,20,3-7,0-0,1-2,5,4,"
9","
3",1,0,2,3,"
7","
-12"
约什-哈特,G,40,5-14,4-10,0-0,1,8,"
9","
0",2,1,1,0,"
14","
-13"
贾克森-海斯,C-F,29,4-6,1-1,4-7,3,5,"
8","
1",5,0,0,2,"
13","
+4"
尼基尔-亚历山大-沃克,G,23,4-7,1-4,0-0,0,4,"
4","
4",1,0,1,0,"
9","
+6"
尼科勒-梅利,F,12,0-2,0-2,2-2,0,0,"
0","
1",2,0,0,0,"
2","
+8"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
JJ-雷迪克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾利尔-奥卡福,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-杰克逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊托万-摩尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加莱特-坦普尔,G,39,2-14,1-6,2-3,1,4,"
5","
5",1,0,1,0,"
7","
-10
"
斯潘塞-丁威迪,G,39,11-26,1-8,8-11,0,2,"
2","
7",3,1,2,0,"
31","
+20
"
乔-哈里斯,F,37,8-15,5-9,3-4,1,5,"
6","
3",1,0,2,1,"
24","
+19
"
托里恩-普林斯,F,35,1-9,1-6,0-0,1,10,"
11","
2",3,0,0,1,"
3","
+22
"
贾勒特-阿伦,C,35,6-7,0-0,0-0,2,12,"
14","
1",5,0,3,6,"
12","
+22
"
德安德烈-乔丹,C,18,2-3,0-0,2-2,1,5,"
6","
5",2,1,1,1,"
6","
-15"
大卫-努瓦巴,G-F,18,5-7,2-3,0-1,0,3,"
3","
0",2,1,0,1,"
12","
+13"
威尔森-钱德勒,F,18,3-6,1-3,0-0,1,5,"
6","
2",3,0,2,0,"
7","
-15"
蒂莫泰-卢瓦乌-卡巴罗,G-F,16,2-5,0-1,2-2,0,2,"
2","
0",1,0,0,0,"
6","
-12"
西奥-平森,G-F,10,0-4,0-3,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-9"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亨利-埃伦森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里斯-勒韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗季翁斯-库鲁茨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
