掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,36,11-19,2-8,9-10,1,4,"
5","
1",2,1,4,0,"
33","
+12"
加里-哈里斯,G,34,3-7,1-4,2-2,1,4,"
5","
3",2,1,0,1,"
9","
-6"
威尔-巴顿,F,39,4-11,1-2,0-0,0,9,"
9","
3",2,2,2,0,"
9","
+22"
保罗-米尔萨普,F,26,4-9,1-1,6-7,5,7,"
12","
2",2,0,2,0,"
15","
+11"
尼古拉-约基奇,C,31,7-14,2-4,2-2,3,6,"
9","
12",2,1,4,1,"
18","
+9"
杰拉米-格兰特,F,20,3-8,2-3,0-0,0,1,"
1","
1",2,0,3,0,"
8","
-3"
梅森-普拉姆利,F-C,19,3-6,0-0,3-4,3,3,"
6","
2",1,0,1,0,"
9","
+1"
蒙特-莫里斯,G,13,2-4,1-1,0-0,0,0,"
0","
4",1,2,1,0,"
5","
-5"
马利克-比斯利,G,11,1-2,1-2,0-0,1,1,"
2","
0",1,0,0,0,"
3","
+13"
小迈克尔-波特,F,9,2-3,0-1,0-0,0,3,"
3","
0",1,1,0,1,"
4","
-4"
托里-克雷格,F,3,0-1,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-5"
胡安-埃尔南戈麦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,31,4-10,3-6,2-2,0,1,"
1","
3",3,1,3,1,"
13","
-30
"
马克尔-富尔茨,G,30,4-10,0-0,2-2,0,1,"
1","
4",2,1,3,1,"
10","
-9
"
阿龙-戈登,F,33,4-14,1-5,0-1,1,6,"
7","
3",1,1,2,1,"
9","
-11
"
乔纳森-艾萨克,F,17,3-6,0-1,1-1,2,3,"
5","
0",4,0,2,0,"
7","
+5
"
尼古拉-武切维奇,C,33,7-16,1-4,5-6,2,5,"
7","
5",2,0,0,1,"
20","
-7
"
DJ-奥古斯丁,G,28,4-9,3-5,7-7,0,3,"
3","
7",0,0,0,0,"
18","
+11"
迈克尔-卡特-威廉姆斯,G,23,3-4,0-0,0-0,1,3,"
4","
2",3,4,0,0,"
6","
-3"
特伦斯-罗斯,G-F,22,3-8,2-4,0-0,0,2,"
2","
1",1,0,1,0,"
8","
+1"
穆罕默德-班巴,C,15,4-9,1-4,0-0,2,3,"
5","
0",3,2,1,1,"
9","
-2"
韦斯利-艾旺杜,F,6,1-1,0-0,2-2,0,0,"
0","
0",0,0,0,0,"
4","
0"
肯-伯奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-马杰特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
