雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
韦斯利-马修斯,G,31,4-9,3-7,2-4,1,3,"
4","
2",4,2,2,1,"
13","
+3"
唐特-迪温琴佐,G,27,2-7,1-4,0-0,0,6,"
6","
6",3,2,1,0,"
5","
+2"
扬尼斯-阿德托昆博,F,32,11-19,5-8,7-10,3,8,"
11","
7",5,1,4,1,"
34","
+7"
克里斯-米德尔顿,F,29,5-10,2-5,3-5,1,5,"
6","
2",4,0,1,0,"
15","
+12"
布鲁克-洛佩斯,C,33,3-8,0-3,4-4,0,4,"
4","
2",4,4,1,3,"
10","
+2"
乔治-希尔,G,27,7-12,3-5,4-4,1,2,"
3","
1",0,0,1,0,"
21","
+7"
艾森-伊利亚索瓦,F,17,1-2,0-1,0-0,1,2,"
3","
2",1,2,1,0,"
2","
-10"
斯特林-布朗,G-F,14,1-3,1-2,0-0,0,0,"
0","
0",1,2,1,0,"
3","
-10"
凯尔-科沃尔,G-F,14,1-3,1-3,3-3,0,0,"
0","
0",1,1,1,0,"
6","
+9"
帕特-康诺顿,G-F,9,1-2,0-0,0-2,1,0,"
1","
0",1,0,0,1,"
2","
+6"
罗宾-洛佩斯,C,8,0-2,0-1,0-0,0,2,"
2","
0",1,0,0,1,"
0","
+7"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-布莱索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼-格林,G,35,7-13,7-12,0-1,1,3,"
4","
0",1,0,1,1,"
21","
+9
"
肯塔维厄斯-考德威尔-波普,G,34,7-12,2-6,2-2,0,1,"
1","
3",2,1,1,0,"
18","
+6
"
安东尼-戴维斯,F,43,11-25,0-6,14-17,3,7,"
10","
5",4,1,1,3,"
36","
+6
"
勒布朗-詹姆斯,F,37,8-19,3-7,2-2,0,12,"
12","
11",5,0,4,0,"
21","
-14
"
贾维尔-麦基,C,17,2-2,0-0,0-0,1,2,"
3","
0",3,0,1,2,"
4","
+6
"
埃弗里-布拉德利,G,18,0-2,0-1,0-0,0,2,"
2","
1",1,0,2,0,"
0","
-13"
拉简-隆多,G,18,1-3,0-1,0-0,0,2,"
2","
3",3,1,5,0,"
2","
-11"
亚历克斯-卡鲁索,G,17,0-1,0-1,0-0,0,0,"
0","
1",1,0,0,0,"
0","
-11"
德怀特-霍华德,C,15,1-2,0-0,0-1,2,2,"
4","
0",2,1,2,0,"
2","
-15"
贾里德-杜德利,F,3,0-0,0-0,0-0,0,0,"
0","
0",2,0,1,0,"
0","
-4"
特洛伊-丹尼尔斯,G,3,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+6"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-库兹马,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
