掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,36,9-19,3-6,7-7,4,2,"
6","
5",1,3,3,0,"
28","
+15"
加里-哈里斯,G,31,4-9,0-4,3-3,0,2,"
2","
2",4,3,1,0,"
11","
+13"
威尔-巴顿,F,34,6-11,1-3,0-0,0,4,"
4","
2",2,0,5,0,"
13","
-1"
保罗-米尔萨普,F,25,5-8,1-2,0-0,0,4,"
4","
3",5,1,2,1,"
11","
+11"
尼古拉-约基奇,C,33,10-16,2-4,0-0,3,7,"
10","
10",4,0,2,2,"
22","
+12"
杰拉米-格兰特,F,23,2-5,1-3,0-0,0,5,"
5","
0",2,0,0,1,"
5","
-2"
梅森-普拉姆利,F-C,15,2-3,0-0,1-2,1,5,"
6","
1",0,0,1,0,"
5","
-1"
马利克-比斯利,G,14,2-5,2-4,0-0,0,1,"
1","
0",1,0,0,1,"
6","
+12"
蒙特-莫里斯,G,14,2-6,0-0,0-0,1,0,"
1","
3",1,1,0,0,"
4","
-8"
小迈克尔-波特,F,10,1-6,0-2,0-0,1,4,"
5","
1",1,0,0,0,"
2","
-3"
托里-克雷格,F,4,1-1,0-0,0-0,0,0,"
0","
0",1,1,1,0,"
2","
-3"
胡安-埃尔南戈麦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,37,7-18,2-8,3-4,1,2,"
3","
6",2,1,3,1,"
19","
-3
"
沙巴兹-内皮尔,G,20,1-6,1-4,1-2,2,2,"
4","
5",0,1,1,0,"
4","
0
"
罗伯特-科温顿,F,23,5-9,0-4,0-0,0,6,"
6","
1",4,2,1,0,"
10","
-1
"
约什-奥科吉,F,19,1-5,0-4,3-4,0,3,"
3","
2",2,0,2,1,"
5","
-20
"
戈尔吉-吉昂,C,24,6-11,4-6,2-4,3,3,"
6","
0",3,0,1,1,"
18","
-10
"
杰夫-蒂格,G,26,4-11,2-6,3-4,0,2,"
2","
2",1,1,3,1,"
13","
-8"
诺阿-冯莱,F,20,3-4,0-1,3-4,3,4,"
7","
2",2,1,2,1,"
9","
+2"
凯塔-贝茨-迪奥普,F,19,4-8,1-4,0-1,1,1,"
2","
0",0,0,0,0,"
9","
-14"
乔丹-贝尔,F,16,1-4,0-0,2-2,4,4,"
8","
1",0,0,0,1,"
4","
+8"
杰伦-诺埃尔,G,15,3-3,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
6","
+4"
贾勒特-卡尔弗,G-F,13,1-6,0-3,0-0,2,1,"
3","
1",0,2,1,2,"
2","
-1"
特雷韦恩-格雷厄姆,G-F,7,0-2,0-2,1-2,0,2,"
2","
0",1,0,0,0,"
1","
-2"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯勒-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
