雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,36,13-18,2-2,4-5,0,4,"
4","
3",2,1,0,0,"
32","
+11"
克里斯-保罗,G,28,5-8,0-1,5-6,0,2,"
2","
7",3,1,3,0,"
15","
-1"
达尼罗-加里纳利,F,30,8-14,4-8,2-3,0,6,"
6","
1",2,0,2,1,"
22","
+12"
特伦斯-弗格森,F,19,1-2,1-2,0-0,0,0,"
0","
1",5,1,1,0,"
3","
+10"
史蒂文-亚当斯,C,26,5-6,0-0,0-0,3,6,"
9","
2",2,0,3,2,"
10","
+8"
丹尼斯-施罗德,G,34,9-19,1-4,5-5,0,9,"
9","
6",2,0,4,0,"
24","
+19"
阿卜杜勒-纳迪尔,F,27,1-5,1-3,0-0,2,1,"
3","
0",3,1,1,0,"
3","
+11"
纳伦斯-诺埃尔,C-F,20,4-6,0-0,2-2,2,3,"
5","
1",2,2,1,1,"
10","
+10"
达里厄斯-贝兹利,F-G,18,2-8,1-4,0-0,1,2,"
3","
2",2,1,0,3,"
5","
+6"
德翁特-伯顿,G-F,2,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
+2"
迈克-穆斯卡拉,F-C,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
里基-卢比奥,G,29,9-11,2-3,4-4,1,1,"
2","
8",3,1,0,0,"
24","
-8
"
德文-布克,G,28,6-11,0-2,6-7,1,3,"
4","
3",3,1,4,0,"
18","
-9
"
达里奥-沙里奇,F,33,6-10,4-6,0-0,2,4,"
6","
4",4,1,3,0,"
16","
-20
"
凯利-乌布雷,F,33,3-10,2-6,5-6,0,4,"
4","
2",3,1,0,0,"
13","
-13
"
阿隆-贝恩斯,C,26,3-9,1-3,0-0,1,4,"
5","
3",4,0,2,0,"
7","
-11
"
卡梅伦-约翰逊,F,17,1-5,1-4,1-1,1,2,"
3","
1",0,1,1,0,"
4","
-12"
米卡尔-布里奇斯,F,17,1-4,0-1,0-0,1,1,"
2","
0",2,0,1,1,"
2","
+4"
埃利-奥科博,G-F,15,5-7,1-1,0-0,1,0,"
1","
0",4,3,1,2,"
11","
-4"
杰文-卡特,G,12,0-5,0-2,2-2,2,2,"
4","
1",2,1,0,1,"
2","
-1"
泰-杰罗姆,G-F,11,0-5,0-2,0-0,2,0,"
2","
2",0,0,0,0,"
0","
-9"
弗兰克-卡明斯基,F-C,11,1-6,0-2,1-1,0,2,"
2","
1",3,0,0,0,"
3","
-8"
谢赫-迪亚洛,F-C,8,3-4,0-0,2-2,0,2,"
2","
1",1,0,3,0,"
8","
+1"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
