骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,29,4-10,2-5,4-4,2,3,"
5","
2",1,0,1,0,"
14","
+1"
科林-塞克斯顿,G,25,2-12,0-1,5-6,1,2,"
3","
3",2,1,2,1,"
9","
-4"
凯文-乐福,F,28,6-13,5-11,4-6,0,13,"
13","
1",1,0,2,0,"
21","
+1"
切迪-奥斯曼,F,21,5-9,3-5,0-0,0,2,"
2","
2",0,0,1,0,"
13","
-2"
特里斯坦-汤普森,C,32,5-14,0-0,0-0,8,7,"
15","
3",1,0,3,1,"
10","
+5"
乔丹-克拉克森,G,30,12-17,6-8,3-5,2,4,"
6","
1",2,0,1,1,"
33","
+21"
小凯文-波特,G-F,23,3-7,1-3,0-0,0,5,"
5","
0",3,1,2,0,"
7","
+1"
小拉里-南斯,F-C,20,2-5,0-2,0-0,1,4,"
5","
3",0,1,0,0,"
4","
+6"
约翰-亨森,F-C,16,1-4,0-1,1-2,1,3,"
4","
3",1,0,0,7,"
3","
+2"
马修-戴拉维多瓦,G,16,0-1,0-1,0-0,1,1,"
2","
8",1,1,2,0,"
0","
+4"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿方索-麦金尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,33,5-16,4-9,2-2,1,6,"
7","
4",3,2,1,1,"
16","
-4
"
贾-莫兰特,G,29,4-11,0-2,0-0,1,4,"
5","
11",2,0,3,0,"
8","
-3
"
小贾伦-杰克逊,F,34,9-19,4-11,2-2,0,3,"
3","
1",4,0,0,2,"
24","
-2
"
杰-克劳德,F,28,5-15,0-6,0-0,2,2,"
4","
2",1,2,0,1,"
10","
-5
"
约纳斯-瓦兰丘纳斯,C,30,7-13,0-0,0-0,4,10,"
14","
2",1,0,1,4,"
14","
0
"
泰厄斯-琼斯,G,19,1-3,0-0,0-0,1,3,"
4","
5",0,1,0,0,"
2","
-4"
丹东尼-梅尔顿,G,18,3-5,2-3,0-1,1,2,"
3","
4",1,2,2,0,"
8","
+3"
布兰登-克拉克,F-G,17,3-6,0-1,0-0,0,3,"
3","
1",1,0,0,0,"
6","
-9"
所罗门-希尔,F,14,3-7,1-4,0-0,0,1,"
1","
0",2,1,0,0,"
7","
-3"
格雷森-阿伦,G,11,3-5,2-3,1-2,0,1,"
1","
0",1,0,0,0,"
9","
-2"
凯尔-安德森,F-G,7,1-2,1-2,0-0,0,1,"
1","
1",1,1,0,0,"
3","
-6"
马尔科-古杜里奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
