尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,33,6-16,2-4,3-4,0,5,"
5","
3",3,0,2,1,"
17","
-21"
埃尔弗里德-佩顿,G,27,3-7,0-2,0-0,2,3,"
5","
10",2,4,2,0,"
6","
-21"
朱利叶斯-兰德尔,F,32,9-17,1-4,1-1,1,7,"
8","
2",3,0,0,0,"
20","
-12"
马库斯-莫里斯,F,24,4-10,0-2,3-4,0,4,"
4","
1",2,0,3,0,"
11","
-29"
泰-吉布森,C,9,1-5,0-0,0-2,2,1,"
3","
0",1,0,1,0,"
2","
-23"
博比-波蒂斯,F,25,2-9,1-3,2-2,2,7,"
9","
1",3,0,1,0,"
7","
-4"
凯文-诺克斯,F,24,7-12,4-6,1-1,0,4,"
4","
0",2,2,2,3,"
19","
+8"
米切尔-罗宾逊,C-F,22,2-4,0-0,2-3,0,1,"
1","
0",6,3,0,1,"
6","
-2"
阿朗佐-特里尔,G,12,1-1,0-0,3-4,0,0,"
0","
2",0,0,0,0,"
5","
+4"
丹尼斯-史密斯,G,11,1-6,0-3,0-0,1,4,"
5","
1",3,1,1,1,"
2","
+1"
丹伊恩-多特森,G,10,1-5,1-3,0-0,0,0,"
0","
1",0,0,0,0,"
3","
-5"
弗朗克-尼利基纳,G,10,2-5,0-3,0-0,1,2,"
3","
2",2,0,2,0,"
4","
-1"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
唐特-迪温琴佐,G,25,5-8,3-5,0-0,2,5,"
7","
1",0,1,1,1,"
13","
+21
"
克里斯-米德尔顿,G,23,7-17,2-5,7-7,3,3,"
6","
5",3,3,5,1,"
23","
+35
"
扬尼斯-阿德托昆博,F,26,8-10,2-4,4-8,0,11,"
11","
10",1,2,3,0,"
22","
+29
"
艾森-伊利亚索瓦,F,19,3-4,2-3,2-4,0,4,"
4","
1",1,0,2,0,"
10","
+22
"
布鲁克-洛佩斯,C,27,5-11,4-8,0-0,1,6,"
7","
0",3,0,0,7,"
14","
+27
"
帕特-康诺顿,G-F,24,0-4,0-2,0-0,0,4,"
4","
4",1,0,0,2,"
0","
0"
凯尔-科沃尔,G-F,24,6-10,3-6,2-3,0,1,"
1","
1",1,2,1,0,"
17","
-8"
斯特林-布朗,G-F,20,1-7,0-5,4-5,0,0,"
0","
0",2,1,2,1,"
6","
-9"
罗宾-洛佩斯,C,17,0-2,0-0,1-2,0,0,"
0","
1",1,0,0,1,"
1","
-5"
DJ-威尔森,F,15,1-4,0-2,1-2,1,6,"
7","
1",2,0,4,0,"
3","
+3"
乔治-希尔,G,13,4-6,2-3,0-0,0,3,"
3","
2",1,0,1,0,"
10","
-6"
萨纳西斯-阿德托昆博,F,7,1-2,0-0,2-4,1,1,"
2","
0",0,0,0,1,"
4","
-4"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-布莱索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦斯利-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
