雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,36,5-13,2-5,0-0,2,5,"
7","
6",3,0,1,0,"
12","
-1"
谢伊-吉尔杰斯-亚历山大,G,34,12-25,2-3,6-6,0,3,"
3","
5",2,2,2,0,"
32","
+16"
特伦斯-弗格森,F,29,0-4,0-4,0-0,3,0,"
3","
1",4,2,2,0,"
0","
+17"
达里厄斯-贝兹利,F,25,3-5,1-2,0-0,2,6,"
8","
2",1,2,2,0,"
7","
+6"
史蒂文-亚当斯,C,31,10-15,0-0,0-2,6,11,"
17","
2",2,3,1,0,"
20","
-4"
丹尼斯-施罗德,G,33,8-17,4-8,8-9,0,5,"
5","
6",2,1,3,0,"
28","
+9"
纳伦斯-诺埃尔,C-F,17,4-5,0-0,0-0,3,2,"
5","
0",2,0,1,1,"
8","
+10"
阿卜杜勒-纳迪尔,F,16,4-7,0-3,1-1,0,0,"
0","
2",4,0,0,1,"
9","
-6"
德翁特-伯顿,G-F,12,0-4,0-2,0-0,0,0,"
0","
0",0,0,0,2,"
0","
-8"
迈克-穆斯卡拉,F-C,8,0-2,0-0,2-2,0,1,"
1","
0",0,0,0,0,"
2","
-9"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达尼罗-加里纳利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
路易斯-威廉姆斯,G,36,7-20,1-6,7-7,0,3,"
3","
7",3,0,4,0,"
22","
-7
"
保罗-乔治,G,34,6-17,2-5,4-6,1,1,"
2","
3",3,2,5,0,"
18","
-16
"
莫里斯-哈克利斯,F,25,2-3,0-1,0-0,0,2,"
2","
2",2,0,0,0,"
4","
-17
"
帕特里克-帕特森,F,18,5-7,2-3,0-0,5,1,"
6","
2",1,0,1,1,"
12","
-10
"
伊维察-祖巴茨,C,18,3-4,0-0,1-1,1,7,"
8","
2",2,1,3,0,"
7","
-7
"
兰德里-沙梅特,G,31,3-6,1-2,7-7,0,4,"
4","
3",4,2,0,0,"
14","
0"
蒙特雷兹-哈勒尔,F-C,31,8-17,0-1,2-3,1,7,"
8","
1",2,0,1,0,"
18","
-1"
杰迈克尔-格林,F-C,18,2-6,2-5,0-0,2,5,"
7","
1",3,1,0,1,"
6","
+17"
罗德尼-麦格鲁德,G,16,2-3,2-3,0-0,0,0,"
0","
0",2,1,0,0,"
6","
+10"
德里克-沃顿,G,12,2-3,1-1,0-0,0,2,"
2","
1",1,0,1,0,"
5","
+1"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰罗姆-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-贝弗利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
