太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,34,3-12,1-6,4-4,1,2,"
3","
6",5,1,2,0,"
11","
-5"
里基-卢比奥,G,34,9-12,2-4,1-1,0,7,"
7","
9",1,1,6,0,"
21","
-1"
凯利-乌布雷,F,38,5-16,1-8,3-3,2,1,"
3","
3",2,2,2,0,"
14","
-17"
达里奥-沙里奇,F,17,6-11,1-4,0-1,2,4,"
6","
2",0,0,0,0,"
13","
-13"
阿隆-贝恩斯,C,30,5-11,0-1,1-1,1,5,"
6","
3",3,0,3,0,"
11","
0"
米卡尔-布里奇斯,F,28,5-9,2-4,0-0,0,1,"
1","
1",0,3,0,0,"
12","
+8"
卡梅伦-约翰逊,F,19,3-6,3-5,2-4,2,5,"
7","
1",1,0,0,0,"
11","
+15"
弗兰克-卡明斯基,F-C,18,4-6,2-3,3-4,0,3,"
3","
0",4,0,3,0,"
13","
-2"
杰文-卡特,G,14,2-2,1-1,0-0,1,1,"
2","
3",2,3,0,0,"
5","
+13"
泰-杰罗姆,G-F,5,0-2,0-1,0-0,0,0,"
0","
1",1,0,1,0,"
0","
+1"
埃利-奥科博,G-F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-9"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,35,12-19,4-8,0-0,1,2,"
3","
7",2,2,4,0,"
28","
+6
"
加里-哈里斯,G,35,4-6,1-2,0-0,0,0,"
0","
2",4,2,2,0,"
9","
+13
"
威尔-巴顿,F,34,6-11,1-2,0-0,1,5,"
6","
5",3,2,3,0,"
13","
+14
"
保罗-米尔萨普,F,28,4-7,0-2,2-2,1,7,"
8","
2",2,1,3,0,"
10","
+21
"
尼古拉-约基奇,C,31,6-13,4-7,6-6,1,11,"
12","
10",4,1,2,0,"
22","
+25
"
马利克-比斯利,G,20,3-7,1-2,0-0,0,1,"
1","
1",4,1,3,0,"
7","
-24"
杰拉米-格兰特,F,20,3-6,1-2,4-7,0,1,"
1","
0",1,0,0,1,"
11","
-19"
梅森-普拉姆利,F-C,17,1-2,0-0,0-0,2,5,"
7","
3",1,0,3,0,"
2","
-23"
蒙特-莫里斯,G,13,3-6,2-2,0-0,0,0,"
0","
1",1,1,0,0,"
8","
-4"
小迈克尔-波特,F,6,1-1,1-1,0-0,0,1,"
1","
0",2,0,1,0,"
3","
+1"
胡安-埃尔南戈麦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托里-克雷格,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
