骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科林-塞克斯顿,G,36,12-20,0-1,1-2,1,5,"
6","
3",0,1,2,0,"
25","
-3"
达里厄斯-加兰,G,26,9-14,3-5,0-0,0,1,"
1","
1",3,0,2,0,"
21","
-1"
凯文-乐福,F,34,7-16,3-10,3-3,1,7,"
8","
5",2,1,5,1,"
20","
+5"
切迪-奥斯曼,F,34,7-15,3-7,1-1,1,1,"
2","
3",4,1,3,0,"
18","
-4"
特里斯坦-汤普森,C,33,1-6,0-0,1-2,2,8,"
10","
2",2,2,1,1,"
3","
-5"
小凯文-波特,G-F,23,7-10,1-2,0-0,0,9,"
9","
1",3,2,5,0,"
15","
+11"
约翰-亨森,F-C,19,2-3,0-0,2-2,0,4,"
4","
0",0,0,2,3,"
6","
+9"
马修-戴拉维多瓦,G,19,3-7,0-2,2-2,2,1,"
3","
4",2,1,2,0,"
8","
+3"
布兰登-奈特,G,11,1-4,1-2,0-0,0,0,"
0","
0",0,0,1,1,"
3","
+4"
阿方索-麦金尼,F,5,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-4"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小拉里-南斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-克拉克森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,36,9-21,5-14,7-9,0,6,"
6","
11",2,4,5,0,"
30","
-3
"
凯文-赫尔特,G,32,7-12,5-7,0-0,0,2,"
2","
2",4,3,1,0,"
19","
+6
"
德安德烈-亨特,F,39,10-19,1-7,2-4,1,2,"
3","
1",1,0,1,1,"
23","
+1
"
约翰-科林斯,F,35,12-20,2-5,1-1,1,9,"
10","
0",4,2,0,2,"
27","
+5
"
布鲁诺-费尔南多,C,10,1-2,0-1,0-0,0,2,"
2","
2",1,0,2,0,"
2","
+1
"
卡姆-雷迪什,F-G,23,2-7,1-2,2-2,0,1,"
1","
3",2,1,1,1,"
7","
+9"
德安德烈-本布里,G-F,19,0-1,0-0,0-0,0,5,"
5","
2",1,1,2,0,"
0","
-13"
贾巴里-帕克,F,15,3-6,0-2,1-1,0,0,"
0","
0",0,0,2,0,"
7","
-9"
文斯-卡特,G-F,15,1-5,1-3,0-0,1,4,"
5","
1",2,0,0,1,"
3","
-6"
达米安-琼斯,C,9,0-1,0-0,0-0,1,0,"
1","
0",2,0,0,1,"
0","
-6"
亚历克斯-莱恩,C,6,0-1,0-1,0-0,1,1,"
2","
1",1,0,2,1,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-克拉布,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
