魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,32,2-5,0-2,4-4,0,4,"
4","
2",3,2,2,0,"
8","
0"
马克尔-富尔茨,G,27,6-11,1-3,0-0,0,6,"
6","
4",2,0,5,1,"
13","
-2"
乔纳森-艾萨克,F,33,5-8,0-1,3-4,1,8,"
9","
5",5,4,1,3,"
13","
+8"
阿龙-戈登,F,31,6-14,1-3,3-6,2,9,"
11","
4",1,1,2,3,"
16","
-3"
尼古拉-武切维奇,C,31,9-17,2-3,1-5,2,5,"
7","
2",1,0,1,2,"
21","
0"
特伦斯-罗斯,G-F,31,8-17,6-13,4-4,0,4,"
4","
0",0,1,0,0,"
26","
+11"
DJ-奥古斯丁,G,21,1-3,0-0,0-0,0,2,"
2","
5",0,0,0,0,"
2","
+10"
穆罕默德-班巴,C,17,2-3,0-1,0-0,1,1,"
2","
1",0,0,0,4,"
4","
+8"
韦斯利-艾旺杜,F,16,0-4,0-0,0-0,0,1,"
1","
0",3,2,1,0,"
0","
+8"
肯-伯奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-马杰特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,38,8-26,3-13,7-7,1,7,"
8","
2",1,1,5,1,"
26","
-1
"
托马什-萨托兰斯基,G,33,8-12,4-5,0-0,2,4,"
6","
3",2,1,1,0,"
20","
+1
"
克里斯-邓恩,F,32,3-6,1-3,1-2,0,5,"
5","
6",4,3,2,1,"
8","
-9
"
劳里-马尔卡宁,F,30,4-11,2-7,0-0,0,3,"
3","
2",0,0,0,1,"
10","
+1
"
温德尔-卡特,C,28,3-8,0-1,0-0,3,7,"
10","
0",4,0,2,0,"
6","
-6
"
赛迪斯-杨,F,22,2-7,1-2,2-2,3,4,"
7","
4",4,1,2,0,"
7","
-3"
科比-怀特,G,19,4-9,1-2,0-0,0,2,"
2","
1",0,0,1,1,"
9","
-14"
里安-阿尔奇迪亚科诺,G,16,1-3,1-1,1-2,0,5,"
5","
1",0,0,0,0,"
4","
+1"
丹尼尔-加福德,F-C,15,2-2,0-0,1-2,2,0,"
2","
1",2,0,1,2,"
5","
-6"
登泽尔-瓦伦丁,G,5,0-4,0-3,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-2"
卢克-科内特,F-C,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
