勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,31,5-9,2-2,10-10,2,13,"
15","
4",1,3,2,0,"
22","
+8"
丹吉洛-拉塞尔,G,31,8-19,1-10,3-4,1,2,"
3","
4",2,1,3,1,"
20","
-4"
格伦-罗宾逊三世,F,37,6-13,2-2,4-4,0,4,"
4","
3",2,1,0,0,"
18","
+24"
德雷蒙德-格林,F,34,8-14,2-4,2-3,3,8,"
11","
3",2,0,3,1,"
20","
+20"
威利-考利-斯坦,C,31,5-7,0-0,0-0,0,4,"
4","
0",0,2,1,4,"
10","
+29"
亚历克-伯克斯,G,24,2-9,1-5,3-4,0,5,"
5","
4",3,0,1,1,"
8","
-7"
凯-鲍曼,G,22,1-4,0-2,2-2,1,4,"
5","
6",2,0,1,1,"
4","
+14"
马基斯-克里斯,F,12,3-6,0-1,0-0,1,1,"
2","
0",4,0,2,0,"
6","
-10"
雅各布-埃文斯,G-F,8,3-5,1-2,1-1,0,2,"
2","
1",0,0,2,0,"
8","
-1"
埃里克-帕斯卡尔,F,7,0-1,0-0,0-0,3,0,"
3","
2",2,0,1,0,"
0","
-9"
奥马里-斯佩尔曼,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-普尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉塞尔-威斯布鲁克,G,40,11-32,0-8,8-8,4,8,"
12","
5",5,0,4,0,"
30","
-9
"
詹姆斯-哈登,G,38,9-18,6-10,0-1,1,5,"
6","
11",3,3,2,0,"
24","
-18
"
PJ-塔克,F,38,3-6,1-4,0-0,1,7,"
8","
2",4,0,2,0,"
7","
-10
"
丹纽尔-豪斯,F,35,5-15,5-12,3-4,2,3,"
5","
0",3,1,0,1,"
18","
-12
"
克林特-卡佩拉,C,29,4-9,0-0,2-2,4,7,"
11","
0",2,1,1,1,"
10","
-20
"
本-麦克勒摩,G,28,2-9,2-9,0-0,1,1,"
2","
0",4,0,2,1,"
6","
+4"
奥斯汀-里弗斯,G,19,2-8,1-5,1-1,1,2,"
3","
1",3,2,0,0,"
6","
+5"
加里-克拉克,F,9,1-3,1-3,0-0,0,1,"
1","
0",1,1,0,0,"
3","
+6"
泰森-钱德勒,C,4,0-0,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
0","
-6"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨博-塞福洛沙,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
