国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,37,6-20,3-11,2-2,0,4,"
4","
1",1,1,2,0,"
17","
+2"
达龙-福克斯,G,2,1-1,0-0,0-0,0,1,"
1","
2",0,0,0,0,"
2","
+4"
哈里森-巴恩斯,F,42,2-12,2-4,5-6,2,8,"
10","
1",2,0,1,0,"
11","
+2"
马文-巴格利,F,20,6-10,0-3,6-7,0,4,"
4","
0",4,1,2,0,"
18","
+7"
里乔恩-霍姆斯,C,45,9-15,0-0,2-2,8,10,"
18","
3",5,2,1,2,"
20","
-1"
波格丹-波格丹诺维奇,G,43,8-28,3-16,0-2,1,6,"
7","
2",1,1,1,3,"
19","
0"
科里-约瑟夫,G,40,3-10,0-1,4-4,1,5,"
6","
7",1,2,1,0,"
10","
-5"
特雷沃-阿里扎,F,34,0-3,0-2,0-0,2,9,"
11","
3",3,1,1,0,"
0","
-9"
内马尼亚-别利察,F,16,2-6,1-2,2-2,2,2,"
4","
0",3,0,0,1,"
7","
-3"
约吉-费雷尔,G,10,0-2,0-0,0-0,0,1,"
1","
1",3,0,1,1,"
0","
-2"
德维恩-戴德蒙,C,2,0-0,0-0,0-0,0,1,"
1","
0",0,0,1,1,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
0"
哈里-贾尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,44,4-19,2-9,8-10,1,9,"
10","
7",2,0,3,0,"
18","
+1
"
沙巴兹-内皮尔,G,22,1-7,0-6,0-0,0,3,"
3","
9",1,2,2,0,"
2","
+2
"
罗伯特-科温顿,F,40,8-19,2-8,1-2,0,8,"
8","
1",4,0,1,2,"
19","
+12
"
特雷韦恩-格雷厄姆,F,40,3-6,1-3,2-2,4,1,"
5","
0",4,0,0,0,"
9","
0
"
戈尔吉-吉昂,C,41,7-13,3-7,4-4,5,10,"
15","
0",2,2,1,1,"
21","
+5
"
杰夫-蒂格,G,37,5-17,1-6,4-4,0,6,"
6","
3",4,0,4,1,"
15","
-1"
约什-奥科吉,G,18,3-5,0-0,1-2,1,4,"
5","
0",1,0,1,0,"
7","
+1"
诺阿-冯莱,F,17,2-3,0-0,0-0,1,5,"
6","
1",1,0,0,0,"
4","
-4"
贾勒特-卡尔弗,G,14,2-7,0-2,1-3,0,2,"
2","
0",0,2,0,1,"
5","
0"
凯塔-贝茨-迪奥普,F,13,0-6,0-3,2-2,1,3,"
4","
0",1,1,1,0,"
2","
-10"
凯勒-马丁,F,5,1-2,1-2,0-0,1,0,"
1","
2",0,0,0,0,"
3","
-1"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-贝尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
