活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
蒂姆-弗雷泽,G,27,5-8,5-6,2-2,0,2,"
2","
6",1,0,1,0,"
17","
+21"
斯维亚托斯拉夫-米哈伊柳克,G,25,4-11,4-9,0-0,2,2,"
4","
4",3,1,1,0,"
12","
+21"
布雷克-格里芬,F,26,5-11,0-6,4-6,3,8,"
11","
4",4,0,2,1,"
14","
+22"
托尼-斯内尔,F,23,3-9,2-8,2-2,0,0,"
0","
1",3,0,1,0,"
10","
+27"
安德烈-德拉蒙德,C,24,5-6,0-0,4-7,2,8,"
10","
0",4,0,3,1,"
14","
+11"
布鲁斯-布朗,G-F,27,5-6,2-2,0-0,0,5,"
5","
5",2,2,1,1,"
12","
+13"
克里斯蒂安-伍德,F,23,7-9,2-4,6-6,1,6,"
7","
3",1,0,3,1,"
22","
+19"
德里克-罗斯,G,21,6-11,3-6,0-0,2,0,"
2","
6",1,1,2,0,"
15","
+9"
兰斯顿-加洛韦,G,18,2-5,1-3,1-1,1,2,"
3","
0",2,0,0,0,"
6","
-2"
索恩-梅克,F-C,13,1-2,0-1,2-2,0,1,"
1","
2",1,0,0,1,"
4","
0"
马基夫-莫里斯,F,9,2-5,0-2,0-0,0,2,"
2","
1",1,0,0,0,"
4","
+8"
路易斯-金,F,4,1-3,0-1,0-0,0,1,"
1","
0",0,1,0,0,"
2","
+1"
塞古-敦布亚,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-杰克逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,24,5-14,0-5,5-7,1,1,"
2","
2",0,1,1,0,"
15","
-25
"
伊斯梅尔-史密斯,G,23,3-11,1-4,2-2,1,0,"
1","
2",2,0,1,0,"
9","
-29
"
阿德米拉尔-斯科菲尔德,F,19,0-6,0-2,0-0,1,2,"
3","
0",4,0,0,0,"
0","
-14
"
伊萨克-邦加,F,7,1-4,0-1,0-0,1,1,"
2","
0",1,0,0,0,"
2","
-10
"
伊安-马辛米,C,19,1-4,0-1,3-4,4,1,"
5","
0",3,1,3,1,"
5","
-23
"
乔纳森-威廉姆斯,F,33,4-6,0-0,1-1,3,5,"
8","
2",2,0,0,1,"
9","
-16"
加里-佩顿二世,G,31,4-8,2-3,0-0,3,2,"
5","
5",2,1,1,2,"
10","
-6"
特洛伊-布朗,F-G,28,6-14,1-2,0-1,0,6,"
6","
1",4,1,2,0,"
13","
-13"
安热伊斯-帕塞奇尼克斯,C,24,7-11,0-0,3-5,3,3,"
6","
1",5,2,0,0,"
17","
-3"
乔丹-麦克雷,G,15,5-10,1-3,4-6,1,1,"
2","
2",1,0,1,1,"
15","
-4"
贾斯廷-罗宾逊,G,9,1-2,1-1,0-0,0,1,"
1","
2",0,0,1,0,"
3","
-3"
加里森-马修斯,G,8,1-2,1-2,1-1,0,3,"
3","
1",1,1,2,0,"
4","
-4"
戴维斯-贝尔坦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托马斯-布莱恩特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-迈尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
