篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,32,5-15,3-9,12-17,0,8,"
8","
3",3,0,5,0,"
25","
-10"
加莱特-坦普尔,G,30,2-10,2-7,1-2,2,7,"
9","
1",0,0,0,0,"
7","
-5"
乔-哈里斯,F,31,3-12,2-7,0-0,1,5,"
6","
2",1,0,0,0,"
8","
-8"
托里恩-普林斯,F,28,1-10,1-10,0-0,1,4,"
5","
2",2,0,1,1,"
3","
-13"
贾勒特-阿伦,C,27,0-2,0-0,4-6,3,3,"
6","
2",2,1,2,1,"
4","
-16"
蒂莫泰-卢瓦乌-卡巴罗,G-F,20,2-3,2-3,4-4,1,1,"
2","
1",2,2,1,1,"
10","
-11"
罗季翁斯-库鲁茨,F,19,2-4,2-2,2-2,1,2,"
3","
0",3,0,1,0,"
8","
+1"
威尔森-钱德勒,F,18,2-9,0-6,0-0,0,4,"
4","
2",2,0,1,0,"
4","
-10"
德安德烈-乔丹,C,18,2-6,0-0,4-5,0,6,"
6","
1",1,0,2,0,"
8","
-1"
西奥-平森,G-F,9,1-3,1-3,0-0,0,1,"
1","
3",3,0,0,0,"
3","
+2"
扎南-穆萨,G-F,5,1-2,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
2","
+6"
亨利-埃伦森,F-C,4,0-2,0-2,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+5"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里斯-勒韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
大卫-努瓦巴,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃尔弗里德-佩顿,G,32,6-12,1-4,0-1,1,6,"
7","
4",3,1,1,0,"
13","
+25
"
RJ-巴雷特,G,24,2-10,1-4,0-0,3,4,"
7","
2",2,1,2,0,"
5","
+20
"
朱利叶斯-兰德尔,F,35,14-26,5-9,0-0,1,7,"
8","
2",3,0,2,0,"
33","
+25
"
马库斯-莫里斯,F,34,8-16,1-4,5-5,1,7,"
8","
2",2,0,1,0,"
22","
+17
"
泰-吉布森,C,12,0-4,0-0,0-0,1,3,"
4","
1",2,0,1,0,"
0","
0
"
米切尔-罗宾逊,C-F,28,4-6,0-0,2-5,5,5,"
10","
1",2,1,0,2,"
10","
+12"
丹伊恩-多特森,G,25,1-3,0-0,0-0,0,5,"
5","
2",1,1,1,0,"
2","
-12"
博比-波蒂斯,F,18,0-6,0-4,2-2,1,7,"
8","
1",4,0,1,0,"
2","
-7"
弗朗克-尼利基纳,G,14,1-5,1-3,0-0,0,0,"
0","
1",5,1,1,0,"
3","
-7"
凯文-诺克斯,F,14,1-3,0-0,2-2,0,3,"
3","
0",2,1,2,0,"
4","
-5"
卡迪姆-阿伦,G,2,0-1,0-1,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-6"
伊格纳斯-布拉兹代基斯,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
