勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,36,5-13,1-4,5-5,1,7,"
8","
2",2,3,2,0,"
16","
+8"
丹吉洛-拉塞尔,G,35,10-25,4-11,7-8,0,5,"
5","
6",2,1,1,0,"
31","
+19"
格伦-罗宾逊三世,F,35,4-7,0-0,4-4,3,3,"
6","
1",3,3,2,0,"
12","
+9"
德雷蒙德-格林,F,32,4-14,2-5,1-2,3,4,"
7","
4",4,0,1,3,"
11","
+6"
威利-考利-斯坦,C,25,4-6,0-0,1-3,2,2,"
4","
1",3,2,0,0,"
9","
+12"
亚历克-伯克斯,G,25,5-14,1-3,2-3,0,5,"
5","
1",1,1,0,0,"
13","
+3"
凯-鲍曼,G,21,2-7,1-3,0-0,0,3,"
3","
5",1,0,3,1,"
5","
+4"
马基斯-克里斯,F,13,1-1,0-0,0-0,1,0,"
1","
1",1,0,1,0,"
2","
-11"
雅各布-埃文斯,G-F,12,1-2,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
2","
-4"
阿伦-斯马伊拉吉奇,F,5,2-3,0-1,0-0,1,0,"
1","
0",0,0,0,1,"
4","
-1"
乔丹-普尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-帕斯卡尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,38,13-24,1-6,7-8,0,3,"
3","
4",3,2,8,0,"
34","
-10
"
里基-卢比奥,G,30,3-10,0-4,5-6,0,4,"
4","
4",3,1,7,0,"
11","
-4
"
凯利-乌布雷,F,23,2-5,0-2,2-2,1,4,"
5","
2",4,1,3,0,"
6","
-11
"
达里奥-沙里奇,F,22,3-6,2-5,3-3,4,6,"
10","
2",0,0,3,0,"
11","
-2
"
阿隆-贝恩斯,C,28,4-8,1-4,0-0,1,9,"
10","
1",4,0,1,0,"
9","
-6
"
卡梅伦-约翰逊,F,33,2-7,1-5,0-0,1,3,"
4","
3",2,0,0,1,"
5","
-6"
米卡尔-布里奇斯,F,20,2-2,1-1,1-1,2,2,"
4","
2",1,0,0,0,"
6","
+8"
杰文-卡特,G,19,0-3,0-2,0-2,0,3,"
3","
3",2,2,2,0,"
0","
-9"
弗兰克-卡明斯基,F-C,18,4-6,1-3,1-2,0,1,"
1","
1",1,0,1,0,"
10","
-3"
泰勒-约翰逊,G,9,2-4,0-1,0-0,2,3,"
5","
0",1,0,1,0,"
4","
-2"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃利-奥科博,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
