勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,33,7-13,3-4,1-2,3,9,"
12","
2",2,0,1,0,"
18","
-11"
丹吉洛-拉塞尔,G,30,13-21,9-14,0-0,0,4,"
4","
6",2,0,2,0,"
35","
-12"
格伦-罗宾逊三世,F,29,3-9,1-5,1-2,1,2,"
3","
2",1,0,1,0,"
8","
-10"
德雷蒙德-格林,F,27,4-10,2-5,0-0,0,3,"
3","
8",3,1,3,0,"
10","
-22"
威利-考利-斯坦,C,19,2-5,0-0,0-0,1,4,"
5","
1",3,0,2,1,"
4","
-6"
亚历克-伯克斯,G,26,5-11,2-6,4-4,0,0,"
0","
0",2,3,1,0,"
16","
-21"
凯-鲍曼,G,23,2-5,1-3,0-0,1,1,"
2","
5",3,0,0,0,"
5","
-15"
阿伦-斯马伊拉吉奇,F,20,2-3,0-1,1-1,0,5,"
5","
1",3,0,0,0,"
5","
-6"
马基斯-克里斯,F,17,5-9,0-0,6-8,2,3,"
5","
2",0,0,0,2,"
16","
+2"
雅各布-埃文斯,G-F,16,2-6,0-1,0-0,1,2,"
3","
1",0,0,4,0,"
4","
+1"
乔丹-普尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-帕斯卡尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,30,8-16,5-8,10-10,2,10,"
12","
15",0,2,3,0,"
31","
+20
"
小蒂姆-哈达威,G,23,9-13,6-8,1-1,0,0,"
0","
1",0,0,1,0,"
25","
+19
"
多里安-芬尼-史密斯,F,29,3-6,1-1,1-1,1,3,"
4","
3",0,0,0,0,"
8","
+26
"
克里斯塔普斯-波尔津吉斯,F,26,6-12,4-9,2-2,0,7,"
7","
3",3,0,5,4,"
18","
+12
"
德怀特-鲍威尔,C,24,4-5,0-0,2-2,5,3,"
8","
3",4,2,2,0,"
10","
+19
"
塞思-库里,G,25,5-13,4-11,3-3,0,1,"
1","
1",2,2,0,0,"
17","
+1"
德朗-赖特,G,22,6-7,1-2,0-0,0,3,"
3","
4",0,3,0,1,"
13","
+1"
贾斯廷-杰克逊,F,21,3-9,1-5,2-2,1,4,"
5","
1",3,0,0,0,"
9","
+8"
马克西-克勒贝尔,F,21,3-5,2-3,0-0,0,4,"
4","
2",2,1,2,1,"
8","
+14"
杰伦-布伦森,G,12,1-2,0-1,0-0,0,1,"
1","
2",2,0,0,0,"
2","
-8"
瑞安-布罗科夫,G-F,5,0-1,0-1,0-0,0,1,"
1","
0",0,1,0,0,"
0","
-5"
博班-马里亚诺维奇,C,2,0-3,0-2,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-7"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
