国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,37,8-17,4-6,3-5,0,5,"
5","
2",2,0,4,1,"
23","
-3"
科里-约瑟夫,G,32,5-10,0-4,0-0,2,3,"
5","
5",3,0,0,0,"
10","
-3"
哈里森-巴恩斯,F,39,7-15,0-4,7-10,3,7,"
10","
1",0,1,1,0,"
21","
0"
内马尼亚-别利察,F,30,4-12,2-4,1-2,2,4,"
6","
4",2,1,2,1,"
11","
+9"
里乔恩-霍姆斯,C,36,5-6,0-0,4-5,0,3,"
3","
0",3,0,0,1,"
14","
-6"
波格丹-波格丹诺维奇,G,32,8-12,5-7,1-2,0,4,"
4","
3",3,0,4,0,"
22","
-1"
约吉-费雷尔,G,22,2-7,1-4,0-0,0,1,"
1","
4",2,0,1,0,"
5","
-2"
贾斯廷-詹姆斯,G-F,9,2-5,0-2,0-0,0,2,"
2","
0",1,1,0,1,"
4","
-2"
韦尼恩-加布里埃尔,F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
哈里-贾尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷沃-阿里扎,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-戴德蒙,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达龙-福克斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,41,14-23,0-4,4-6,1,2,"
3","
10",3,2,3,0,"
32","
+6
"
里基-卢比奥,G,33,7-15,3-5,4-4,1,2,"
3","
8",3,2,2,2,"
21","
+1
"
凯利-乌布雷,F,41,8-14,2-4,2-2,2,14,"
16","
5",2,2,2,0,"
20","
+1
"
达里奥-沙里奇,F,21,0-7,0-3,0-0,0,2,"
2","
2",3,1,2,0,"
0","
-4
"
阿隆-贝恩斯,C,30,8-12,1-3,0-0,2,4,"
6","
0",5,0,1,0,"
17","
+7
"
米卡尔-布里奇斯,F,25,5-7,1-2,0-0,1,1,"
2","
1",3,2,2,0,"
11","
-1"
卡梅伦-约翰逊,F,14,1-3,1-3,0-0,0,2,"
2","
0",1,0,1,0,"
3","
-1"
埃利-奥科博,G-F,12,1-4,1-2,3-3,0,1,"
1","
3",0,1,0,0,"
6","
+6"
谢赫-迪亚洛,F-C,12,0-0,0-0,0-0,1,4,"
5","
1",1,0,0,0,"
0","
-1"
弗兰克-卡明斯基,F-C,7,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
杰文-卡特,G,5,1-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
