开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,39,7-17,4-13,13-14,0,2,"
2","
9",4,1,3,1,"
31","
-5"
CJ-麦科勒姆,G,38,8-16,2-8,0-0,0,2,"
2","
4",0,0,2,0,"
18","
-9"
卡梅罗-安东尼,F,33,5-14,1-2,2-2,1,4,"
5","
2",4,0,3,1,"
13","
+2"
斯卡尔-拉比西埃,F,3,0-1,0-1,0-0,0,1,"
1","
0",2,0,0,0,"
0","
-3"
哈桑-怀特塞德,C,34,7-11,0-0,5-7,6,10,"
16","
0",3,0,4,4,"
19","
+1"
肯特-贝兹莫尔,G-F,28,3-8,2-4,1-1,0,4,"
4","
1",5,1,1,2,"
9","
+11"
安芬尼-西蒙斯,G,27,6-13,1-1,1-1,1,5,"
6","
0",1,1,0,0,"
14","
-15"
安东尼-托利弗,F,18,4-5,4-5,0-0,1,2,"
3","
1",2,0,3,0,"
12","
-7"
纳西尔-利特尔,F-G,11,0-0,0-0,1-2,0,0,"
0","
1",0,0,0,0,"
1","
-12"
小加里-特伦特,G-F,9,1-1,1-1,0-0,0,0,"
0","
0",1,1,0,0,"
3","
-3"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里奥-海佐尼亚,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼-格林,G,19,1-6,1-5,0-0,1,1,"
2","
0",1,0,0,0,"
3","
-13
"
埃弗里-布拉德利,G,18,4-9,0-3,0-0,0,2,"
2","
1",2,0,2,0,"
8","
-15
"
勒布朗-詹姆斯,F,37,7-15,1-4,6-8,1,6,"
7","
16",2,2,1,1,"
21","
+5
"
安东尼-戴维斯,F,36,7-16,1-4,5-6,1,8,"
9","
5",3,2,2,0,"
20","
+6
"
贾维尔-麦基,C,11,2-2,0-0,0-0,0,4,"
4","
0",4,0,0,1,"
4","
-8
"
肯塔维厄斯-考德威尔-波普,G,32,4-7,3-4,2-2,1,1,"
2","
2",3,0,0,1,"
13","
+22"
凯尔-库兹马,F,30,9-17,3-9,3-3,1,3,"
4","
1",1,0,0,0,"
24","
+14"
亚历克斯-卡鲁索,G,20,3-6,1-1,2-3,2,1,"
3","
3",4,2,2,0,"
9","
+13"
德怀特-霍华德,C,19,4-5,0-0,3-4,3,5,"
8","
0",3,0,0,4,"
11","
+6"
拉简-隆多,G,18,6-8,1-2,2-2,1,2,"
3","
4",2,0,2,0,"
15","
+12"
贾里德-杜德利,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特洛伊-丹尼尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
