森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾勒特-卡尔弗,G,24,3-7,1-2,0-2,2,1,"
3","
0",4,2,3,3,"
7","
0"
沙巴兹-内皮尔,G,23,3-17,1-6,2-2,1,1,"
2","
3",2,1,4,0,"
9","
+1"
罗伯特-科温顿,F,35,5-13,3-9,1-2,2,5,"
7","
3",5,4,2,1,"
14","
-4"
特雷韦恩-格雷厄姆,F,25,1-3,0-2,1-1,0,1,"
1","
1",3,1,1,0,"
3","
-11"
戈尔吉-吉昂,C,23,2-8,0-5,1-1,3,4,"
7","
2",3,4,2,1,"
5","
+2"
凯勒-马丁,F,30,6-15,3-7,2-2,1,5,"
6","
0",2,1,0,0,"
17","
0"
杰夫-蒂格,G,27,7-14,0-2,4-5,0,0,"
0","
4",2,1,2,0,"
18","
-6"
诺阿-冯莱,F,24,4-5,0-0,0-0,3,6,"
9","
3",4,2,1,1,"
8","
-7"
约什-奥科吉,G,20,0-7,0-2,1-2,0,3,"
3","
1",4,1,2,2,"
1","
-3"
凯塔-贝茨-迪奥普,F,11,2-4,0-2,2-2,1,0,"
1","
0",0,0,0,0,"
6","
-2"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德鲁-威金斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-贝尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科林-塞克斯顿,G,34,5-17,0-1,8-11,3,4,"
7","
1",3,1,6,0,"
18","
-5
"
达里厄斯-加兰,G,29,8-11,2-4,0-1,1,1,"
2","
3",5,2,5,0,"
18","
+11
"
小拉里-南斯,F,31,4-7,1-3,0-0,2,7,"
9","
0",3,1,2,1,"
9","
+8
"
切迪-奥斯曼,F,27,2-7,1-4,2-4,1,6,"
7","
1",2,0,2,0,"
7","
-3
"
特里斯坦-汤普森,C,35,2-9,0-0,8-10,4,11,"
15","
3",1,0,4,1,"
12","
+5
"
小凯文-波特,G-F,30,3-10,0-3,4-6,0,5,"
5","
2",4,1,4,0,"
10","
+9"
丹特-埃克萨姆,G,16,3-7,0-1,2-2,0,3,"
3","
0",0,1,2,0,"
8","
-3"
马修-戴拉维多瓦,G,13,2-5,0-3,2-2,1,2,"
3","
1",2,1,1,0,"
6","
+12"
约翰-亨森,F-C,13,2-3,0-1,0-0,2,7,"
9","
2",1,1,1,2,"
4","
-2"
阿方索-麦金尼,F,12,1-1,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
2","
-2"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-乐福,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
