灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,28,2-8,0-1,2-2,0,3,"
3","
7",2,0,2,0,"
6","
+20"
狄龙-布鲁克斯,G,23,8-13,2-5,2-2,0,0,"
0","
2",6,0,1,0,"
20","
+10"
小贾伦-杰克逊,F,25,6-12,2-5,0-0,1,11,"
12","
0",3,0,1,2,"
14","
+18"
凯尔-安德森,F,22,3-10,0-3,0-0,4,5,"
9","
2",1,1,2,0,"
6","
+8"
约纳斯-瓦兰丘纳斯,C,23,7-8,0-0,2-2,3,6,"
9","
5",3,0,3,0,"
16","
+16"
格雷森-阿伦,G,26,4-11,3-9,4-4,1,4,"
5","
2",0,0,1,0,"
15","
+1"
布兰登-克拉克,F-G,25,7-12,1-3,3-3,2,2,"
4","
3",1,1,2,3,"
18","
-2"
丹东尼-梅尔顿,G,23,3-5,1-2,0-0,0,2,"
2","
2",1,1,0,0,"
7","
+11"
所罗门-希尔,F,21,2-5,1-4,4-4,1,1,"
2","
1",2,0,1,0,"
9","
-2"
泰厄斯-琼斯,G,20,3-7,0-2,0-0,1,2,"
3","
6",0,2,1,0,"
6","
-7"
布鲁诺-卡博克洛,F,1,0-1,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-4"
约翰-康查尔,G,1,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-4"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科-古杜里奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰-克劳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,37,3-8,0-1,3-3,0,2,"
2","
8",2,1,5,0,"
9","
-14
"
德文特-格雷厄姆,G,35,5-18,3-12,3-3,1,3,"
4","
10",4,2,1,0,"
16","
-18
"
PJ-华盛顿,F,28,5-9,4-6,2-5,0,4,"
4","
1",2,0,0,1,"
16","
-17
"
迈尔斯-布里奇斯,F,26,4-10,0-3,0-0,2,5,"
7","
1",1,0,3,0,"
8","
-6
"
俾斯麦-比永博,C,21,3-5,0-0,4-6,2,4,"
6","
0",1,0,0,2,"
10","
-4
"
马利克-蒙克,G,26,8-18,1-4,1-2,2,3,"
5","
0",1,1,1,1,"
18","
-3"
马文-威廉姆斯,F,23,2-5,1-3,1-2,0,4,"
4","
0",4,2,1,0,"
6","
-8"
科迪-泽勒,F-C,19,5-8,0-1,4-5,1,2,"
3","
1",1,1,1,0,"
14","
-9"
科迪-马丁,F-G,15,0-2,0-1,1-2,1,2,"
3","
1",1,1,1,0,"
1","
0"
迈克尔-基德-吉尔克里斯特,F,5,1-2,0-0,0-0,1,2,"
3","
0",1,0,1,0,"
2","
+2"
德维恩-培根,G-F,2,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+6"
吉列尔莫-埃尔南戈麦斯,C-F,2,1-1,0-0,2-4,1,0,"
1","
0",1,0,0,0,"
4","
+6"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
