猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,39,6-13,2-6,6-6,0,3,"
3","
5",5,1,6,1,"
20","
-3"
弗雷德-范弗利特,G,38,7-18,4-8,2-2,0,3,"
3","
8",3,0,1,1,"
20","
+3"
帕特里克-麦考,F,37,5-9,3-5,0-0,1,1,"
2","
2",1,2,2,0,"
13","
-10"
OG-阿奴诺比,F,26,3-12,0-7,0-0,2,3,"
5","
1",1,1,0,0,"
6","
0"
赛尔吉-伊巴卡,C,34,5-11,2-4,0-0,2,12,"
14","
2",3,1,2,0,"
12","
+4"
特伦斯-戴维斯,G,27,4-8,3-6,0-0,2,4,"
6","
3",0,2,0,0,"
11","
+5"
克里斯-布歇,F-C,19,3-7,1-3,2-2,0,5,"
5","
0",2,0,1,0,"
9","
-4"
奥谢-布里塞特,F-G,18,2-4,0-1,0-0,0,1,"
1","
0",2,0,0,0,"
4","
+2"
朗戴-霍利斯-杰弗森,F,3,0-1,0-0,2-2,1,2,"
3","
0",3,0,2,0,"
2","
-2"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕斯卡尔-西亚卡姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,39,12-21,3-5,5-6,2,5,"
7","
2",1,3,3,0,"
32","
-6
"
克里斯-保罗,G,34,9-18,3-6,4-4,0,11,"
11","
8",1,0,5,0,"
25","
+12
"
特伦斯-弗格森,F,35,0-5,0-5,0-0,1,2,"
3","
1",4,0,1,0,"
0","
0
"
达里厄斯-贝兹利,F,30,4-7,4-7,0-0,0,5,"
5","
0",0,0,2,2,"
12","
-2
"
史蒂文-亚当斯,C,29,2-7,0-0,5-6,4,2,"
6","
0",0,2,1,1,"
9","
0
"
阿卜杜勒-纳迪尔,F,22,1-4,0-3,2-3,0,4,"
4","
1",2,0,2,0,"
4","
+8"
纳伦斯-诺埃尔,C-F,19,5-5,0-0,3-3,1,3,"
4","
1",0,3,2,3,"
13","
+1"
吕冈茨-多尔特,G,17,1-6,0-3,1-1,0,1,"
1","
0",3,0,1,0,"
3","
-2"
德翁特-伯顿,G-F,8,0-2,0-1,0-0,0,0,"
0","
1",2,0,0,0,"
0","
-3"
凯文-赫维,F,7,0-3,0-3,0-0,0,2,"
2","
1",1,0,0,0,"
0","
-3"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达尼罗-加里纳利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-施罗德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
