公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,33,7-23,4-9,1-1,0,4,"
4","
5",1,0,2,0,"
19","
-9"
托马什-萨托兰斯基,G,26,4-11,2-6,0-0,1,1,"
2","
7",4,0,2,0,"
10","
-6"
劳里-马尔卡宁,F,27,6-12,5-9,1-2,2,4,"
6","
0",3,1,1,0,"
18","
-9"
克里斯-邓恩,F,19,1-6,0-2,2-2,0,2,"
2","
2",2,1,2,0,"
4","
-21"
温德尔-卡特,C,28,5-9,0-2,0-0,5,6,"
11","
1",3,1,2,1,"
10","
-16"
科比-怀特,G,33,7-18,3-6,1-2,1,3,"
4","
1",4,4,0,0,"
18","
-3"
赛迪斯-杨,F,18,2-8,1-3,0-0,2,1,"
3","
4",0,0,0,0,"
5","
-7"
丹尼尔-加福德,F-C,17,4-7,0-0,0-1,3,1,"
4","
2",0,2,0,1,"
8","
-2"
登泽尔-瓦伦丁,G,16,2-7,1-4,0-0,0,2,"
2","
1",2,1,1,0,"
5","
-9"
里安-阿尔奇迪亚科诺,G,14,1-2,0-0,0-0,0,3,"
3","
2",1,0,0,0,"
2","
-8"
沙奎尔-哈里森,G,3,0-0,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
0","
-7"
卢克-科内特,F-C,3,1-1,1-1,0-0,0,1,"
1","
0",0,0,0,0,"
3","
-5"
亚当,G,3,0-3,0-2,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
唐特-迪温琴佐,G,25,1-4,0-3,0-0,1,4,"
5","
4",0,0,1,0,"
2","
+3
"
埃里克-布莱索,G,16,5-8,1-2,4-5,0,3,"
3","
3",1,4,3,0,"
15","
+26
"
克里斯-米德尔顿,F,32,9-19,1-5,6-7,0,6,"
6","
4",3,1,3,1,"
25","
+11
"
扬尼斯-阿德托昆博,F,27,8-14,1-3,6-6,1,9,"
10","
6",3,0,2,0,"
23","
+11
"
布鲁克-洛佩斯,C,27,5-9,1-4,0-0,2,2,"
4","
1",3,1,0,2,"
11","
+14
"
帕特-康诺顿,G-F,26,3-4,2-2,0-0,2,7,"
9","
2",3,0,2,2,"
8","
+2"
凯尔-科沃尔,G-F,21,3-4,3-4,0-0,0,3,"
3","
2",1,0,2,0,"
9","
+6"
罗宾-洛佩斯,C,20,5-8,0-2,1-2,2,4,"
6","
2",0,0,1,4,"
11","
+6"
乔治-希尔,G,20,2-3,1-2,0-0,1,1,"
2","
3",2,0,1,0,"
5","
+12"
艾森-伊利亚索瓦,F,19,5-8,1-3,3-4,1,10,"
11","
2",0,0,1,0,"
14","
+8"
萨纳西斯-阿德托昆博,F,3,0-1,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
+3"
DJ-威尔森,F,3,0-2,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦斯利-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯特林-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
