公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,39,9-26,3-11,5-6,1,3,"
4","
5",3,1,4,1,"
26","
+11"
托马什-萨托兰斯基,G,34,3-7,0-3,2-2,0,0,"
0","
4",1,2,0,0,"
8","
+4"
劳里-马尔卡宁,F,32,6-16,4-10,2-2,4,4,"
8","
2",0,1,0,0,"
18","
+7"
克里斯-邓恩,F,31,2-7,1-2,0-0,1,7,"
8","
4",4,0,1,1,"
5","
-2"
温德尔-卡特,C,36,7-12,1-2,3-4,6,7,"
13","
4",3,0,4,0,"
18","
+9"
科比-怀特,G,24,3-11,0-4,0-1,2,2,"
4","
2",3,2,0,0,"
6","
-15"
赛迪斯-杨,F,16,2-5,1-2,0-0,0,4,"
4","
0",0,1,0,1,"
5","
-11"
丹尼尔-加福德,F-C,12,2-5,0-0,1-2,1,2,"
3","
1",1,0,1,2,"
5","
-13"
沙奎尔-哈里森,G,11,1-2,1-1,0-0,0,0,"
0","
0",0,1,0,0,"
3","
-4"
登泽尔-瓦伦丁,G,6,2-3,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
4","
-6"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里安-阿尔奇迪亚科诺,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,38,6-14,2-5,3-3,1,3,"
4","
7",2,0,5,0,"
17","
+5
"
乔-英格尔斯,G,34,3-9,2-5,0-0,0,5,"
5","
10",2,0,0,1,"
8","
+1
"
博扬-波格丹诺维奇,F,34,5-13,0-5,9-9,2,4,"
6","
1",2,1,5,0,"
19","
-8
"
罗伊斯-奥尼尔,F,29,2-4,1-3,0-0,0,3,"
3","
3",2,1,2,0,"
5","
-10
"
鲁迪-戈贝尔,C,35,8-11,0-0,1-2,2,10,"
12","
0",4,0,2,3,"
17","
-4
"
乔丹-克拉克森,G,23,3-8,3-7,3-4,0,3,"
3","
0",2,0,2,0,"
12","
+4"
乔治-尼昂,F,17,4-7,3-5,0-0,0,1,"
1","
0",1,1,0,0,"
11","
+19"
伊曼纽尔-穆迪埃,G,17,3-5,0-0,1-2,0,1,"
1","
2",1,2,1,0,"
7","
+5"
托尼-布拉德利,C-F,13,3-5,0-0,0-2,2,5,"
7","
1",1,0,0,2,"
6","
+8"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱万-摩根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷琼-塔克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-康利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
