森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
沙巴兹-内皮尔,G,33,7-9,2-4,4-6,1,2,"
3","
7",3,2,4,1,"
20","
+23"
贾勒特-卡尔弗,G,32,4-14,1-8,1-2,4,1,"
5","
1",5,1,3,0,"
10","
+8"
罗伯特-科温顿,F,30,8-15,4-11,0-0,2,8,"
10","
2",0,2,0,2,"
20","
+16"
凯勒-马丁,F,29,4-12,1-5,3-3,0,8,"
8","
1",1,0,0,0,"
12","
+24"
戈尔吉-吉昂,C,28,3-6,0-1,0-0,2,3,"
5","
2",2,0,1,1,"
6","
+13"
约什-奥科吉,G,21,3-6,1-3,0-0,2,3,"
5","
3",3,1,1,1,"
7","
+3"
凯塔-贝茨-迪奥普,F,20,3-9,1-2,2-3,0,4,"
4","
0",3,0,0,1,"
9","
+2"
纳兹-里德,C-F,20,5-11,3-6,0-3,2,4,"
6","
1",1,0,1,1,"
13","
+2"
乔丹-麦克劳克林,G,15,0-4,0-1,0-0,0,1,"
1","
4",1,1,1,0,"
0","
-8"
杰伦-诺埃尔,G,6,0-4,0-1,0-0,1,0,"
1","
1",0,0,0,0,"
0","
+1"
乔丹-贝尔,F,5,1-5,0-1,0-0,3,1,"
4","
0",1,0,1,0,"
2","
-9"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰夫-蒂格,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德鲁-威金斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷韦恩-格雷厄姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,27,4-11,0-4,2-2,1,2,"
3","
2",2,2,4,0,"
10","
-19
"
亚历克-伯克斯,G,22,3-5,1-1,0-0,0,3,"
3","
1",5,1,4,0,"
7","
-11
"
格伦-罗宾逊三世,F,31,7-14,1-3,1-2,1,5,"
6","
1",1,0,1,0,"
16","
-22
"
德雷蒙德-格林,F,22,1-4,0-3,0-0,0,3,"
3","
6",1,1,1,0,"
2","
-18
"
马基斯-克里斯,C,22,3-6,0-0,0-2,2,5,"
7","
5",3,0,0,1,"
6","
-8
"
凯-鲍曼,G,27,2-9,0-2,0-0,0,2,"
2","
2",3,4,1,0,"
4","
-4"
埃里克-帕斯卡尔,F,26,6-14,0-3,1-2,1,6,"
7","
0",1,0,2,0,"
13","
-7"
雅各布-埃文斯,G-F,23,3-6,0-0,3-4,0,4,"
4","
1",0,0,0,0,"
9","
+6"
奥马里-斯佩尔曼,F,22,3-4,1-2,3-3,1,4,"
5","
1",2,0,2,0,"
10","
-1"
阿伦-斯马伊拉吉奇,F,16,1-4,0-2,5-6,1,2,"
3","
1",2,1,1,0,"
7","
+9"
威利-考利-斯坦,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-普尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
