步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰里米-兰姆,G,37,9-13,5-5,7-7,1,5,"
6","
2",2,1,0,0,"
30","
+1"
阿龙-霍勒迪,G,22,3-7,0-1,0-0,0,0,"
0","
10",5,0,2,0,"
6","
+9"
多曼塔斯-萨博尼斯,F,38,8-12,0-0,2-6,4,5,"
9","
9",0,2,2,1,"
18","
-2"
TJ-沃伦,F,38,8-15,2-5,2-2,2,3,"
5","
2",4,2,0,0,"
20","
-1"
迈尔斯-特纳,C,35,7-13,1-5,6-8,0,5,"
5","
1",5,0,1,1,"
21","
-1"
TJ-麦康奈尔,G,26,4-7,0-0,0-0,1,4,"
5","
7",1,1,2,0,"
8","
-17"
贾斯廷-霍勒迪,F-G,22,2-6,2-6,0-0,0,2,"
2","
1",2,1,1,1,"
6","
-17"
道格-麦克德莫特,F,13,2-8,2-3,0-0,0,0,"
0","
0",1,0,1,0,"
6","
-8"
戈加-比塔泽,C-F,9,0-1,0-1,1-2,1,1,"
2","
0",1,0,0,0,"
1","
-4"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-布罗格登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,38,8-18,2-7,4-4,0,5,"
5","
7",1,1,0,0,"
22","
+11
"
威尔-巴顿,G,32,4-12,1-5,7-8,4,6,"
10","
5",4,2,1,0,"
16","
-6
"
加里-哈里斯,F,37,4-6,2-3,2-2,2,1,"
3","
5",4,1,4,0,"
12","
+4
"
保罗-米尔萨普,F,27,2-7,0-3,2-2,3,4,"
7","
1",2,2,1,0,"
6","
-4
"
尼古拉-约基奇,C,24,7-15,0-3,8-8,3,4,"
7","
0",5,0,2,0,"
22","
-9
"
梅森-普拉姆利,F-C,24,4-6,0-0,0-1,2,5,"
7","
4",2,1,1,1,"
8","
+17"
小迈克尔-波特,F,23,11-12,2-3,1-2,0,5,"
5","
1",3,0,1,0,"
25","
+13"
杰拉米-格兰特,F,21,3-6,0-2,0-0,1,2,"
3","
1",0,0,0,0,"
6","
+12"
蒙特-莫里斯,G,14,3-5,1-1,0-0,0,0,"
0","
3",0,0,0,0,"
7","
+2"
马利克-比斯利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
胡安-埃尔南戈麦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托里-克雷格,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
