热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,38,3-14,1-9,0-0,1,3,"
4","
9",2,1,0,0,"
7","
+18"
邓肯-罗宾逊,G,19,2-4,2-3,0-0,0,4,"
4","
1",1,0,1,0,"
6","
+2"
巴姆-阿德巴约,F,35,7-8,0-0,1-2,2,12,"
14","
2",4,0,4,1,"
15","
+9"
吉米-巴特勒,F,34,2-10,0-0,4-7,3,9,"
12","
7",1,2,3,0,"
8","
-2"
迈耶斯-伦纳德,C,21,3-7,1-3,1-1,0,2,"
2","
0",0,0,0,0,"
8","
-4"
泰勒-希罗,G,33,5-10,3-6,0-0,1,3,"
4","
3",0,1,2,0,"
13","
+5"
小德里克-琼斯,F-G,28,4-13,2-9,0-0,1,5,"
6","
0",3,2,2,1,"
10","
+3"
戈兰-德拉季奇,G,22,5-13,3-7,0-0,1,1,"
2","
1",1,0,1,1,"
13","
+7"
克里斯-席尔瓦,F,5,2-2,0-0,0-1,0,1,"
1","
0",1,0,1,1,"
4","
+7"
凯利-奥利尼克,F-C,3,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-5"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,40,4-16,2-12,5-6,1,3,"
4","
8",4,0,1,1,"
15","
-1
"
弗雷德-范弗利特,G,39,3-16,1-11,0-0,1,3,"
4","
6",0,1,1,0,"
7","
-11
"
OG-阿奴诺比,F,37,5-12,2-5,0-0,1,11,"
12","
3",2,2,2,0,"
12","
-1
"
帕特里克-麦考,F,28,1-8,1-4,0-0,1,0,"
1","
1",0,0,0,0,"
3","
-4
"
赛尔吉-伊巴卡,C,35,9-21,0-4,1-2,3,7,"
10","
0",3,0,2,2,"
19","
-1
"
朗戴-霍利斯-杰弗森,F,29,4-8,0-0,5-6,3,4,"
7","
1",2,1,2,1,"
13","
-8"
特伦斯-戴维斯,G,13,1-6,0-5,3-3,1,1,"
2","
1",0,0,1,0,"
5","
-3"
克里斯-布歇,F-C,13,1-1,0-0,0-0,2,6,"
8","
0",1,1,1,2,"
2","
-7"
斯坦利-约翰逊,F-G,6,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
帕斯卡尔-西亚卡姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
