奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-佩顿二世,G,35,2-7,0-3,0-0,1,0,"
1","
4",4,1,1,0,"
4","
-21"
以赛亚-托马斯,G,1,1-1,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
2","
-1"
特洛伊-布朗,F,31,3-10,0-3,4-5,0,7,"
7","
1",3,1,2,0,"
10","
-31"
乔纳森-威廉姆斯,F,16,4-6,0-0,0-2,3,5,"
8","
0",0,1,0,0,"
8","
-11"
伊安-马辛米,C,26,1-5,0-2,1-4,1,1,"
2","
3",4,1,1,3,"
3","
-18"
伊斯梅尔-史密斯,G,33,6-14,2-5,2-2,0,2,"
2","
5",3,1,2,0,"
16","
-16"
乔丹-麦克雷,G,33,12-26,4-10,7-9,3,2,"
5","
4",4,0,2,1,"
35","
-4"
加里森-马修斯,G,25,6-9,5-7,1-1,0,2,"
2","
1",2,0,0,0,"
18","
+1"
安热伊斯-帕塞奇尼克斯,C,18,2-7,0-0,0-0,5,4,"
9","
1",5,0,3,0,"
4","
+2"
阿德米拉尔-斯科菲尔德,F-G,12,0-3,0-2,1-2,0,2,"
2","
0",2,0,0,0,"
1","
0"
伊萨克-邦加,G,9,1-2,0-1,0-0,1,2,"
3","
0",1,0,0,0,"
2","
+4"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戴维斯-贝尔坦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托马斯-布莱恩特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-迈尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布拉德利-比尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,36,10-18,2-6,2-2,1,3,"
4","
6",3,1,2,0,"
24","
+18
"
达米安-利拉德,G,34,10-20,2-6,13-14,0,3,"
3","
3",1,1,1,0,"
35","
+29
"
肯特-贝兹莫尔,F,35,2-7,1-4,0-2,0,2,"
2","
3",4,1,0,2,"
5","
+27
"
卡梅罗-安东尼,F,31,7-9,1-1,1-2,1,5,"
6","
2",3,2,2,0,"
16","
+21
"
哈桑-怀特塞德,C,33,8-14,0-0,7-8,8,13,"
21","
1",5,0,1,5,"
23","
+28
"
小加里-特伦特,G-F,20,3-7,0-3,0-0,0,0,"
0","
0",0,0,0,0,"
6","
-7"
马里奥-海佐尼亚,F-G,18,4-7,0-3,2-3,0,0,"
0","
0",4,1,0,0,"
10","
-6"
安芬尼-西蒙斯,G,17,1-4,0-1,0-0,1,1,"
2","
1",0,0,1,0,"
2","
-9"
安东尼-托利弗,F,15,0-1,0-1,1-2,0,2,"
2","
0",1,0,0,0,"
1","
-9"
杰伦-赫尔德,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
纳西尔-利特尔,F-G,1,0-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
