国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,39,7-20,4-7,6-6,4,8,"
12","
3",4,2,7,0,"
24","
+4"
达龙-福克斯,G,33,5-14,2-3,5-11,0,3,"
3","
5",3,1,3,0,"
17","
-21"
哈里森-巴恩斯,F,39,9-12,2-2,10-12,0,4,"
4","
3",2,0,1,0,"
30","
+5"
内马尼亚-别利察,F,22,4-11,1-4,3-4,5,5,"
10","
1",4,1,3,0,"
12","
-13"
里乔恩-霍姆斯,C,34,6-11,0-0,1-1,4,8,"
12","
0",2,1,1,2,"
13","
-13"
特雷沃-阿里扎,F,32,2-4,1-3,0-0,0,3,"
3","
2",2,2,3,1,"
5","
+13"
科里-约瑟夫,G,19,3-6,2-2,0-0,0,1,"
1","
5",3,2,0,0,"
8","
+10"
哈里-贾尔斯,F-C,14,2-4,0-0,2-2,1,4,"
5","
0",4,0,2,0,"
6","
+7"
约吉-费雷尔,G,8,0-3,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
0","
-2"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-戴德蒙,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波格丹-波格丹诺维奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朗佐-鲍尔,G,33,9-19,4-12,2-2,2,4,"
6","
10",4,2,2,1,"
24","
+21
"
JJ-雷迪克,G,27,5-10,3-6,5-5,0,2,"
2","
3",2,1,0,0,"
18","
+19
"
朱-霍勒迪,F,34,7-17,3-8,2-2,0,5,"
5","
7",2,1,3,0,"
19","
-15
"
布兰登-英格拉姆,F,31,4-13,3-8,5-5,0,5,"
5","
3",6,3,4,0,"
16","
+4
"
德里克-费沃斯,C,28,5-6,0-0,3-4,3,8,"
11","
1",1,0,1,1,"
13","
+25
"
约什-哈特,G,27,5-8,2-5,4-7,1,4,"
5","
1",3,2,0,1,"
16","
-7"
伊托万-摩尔,G,21,2-8,1-4,0-0,1,1,"
2","
2",2,1,1,0,"
5","
-9"
贾克森-海斯,C-F,13,1-1,0-0,2-4,1,0,"
1","
0",0,0,2,0,"
4","
-12"
肯里奇-威廉姆斯,G-F,11,0-3,0-1,0-0,0,3,"
3","
0",2,1,0,0,"
0","
-20"
弗兰克-杰克逊,G,7,0-2,0-1,0-0,0,0,"
0","
1",1,0,1,0,"
0","
+11"
贾利尔-奥卡福,C-F,7,0-0,0-0,2-4,1,3,"
4","
0",2,0,1,0,"
2","
-7"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼基尔-亚历山大-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼科勒-梅利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
