魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,32,4-15,1-8,0-0,0,3,"
3","
4",2,2,0,0,"
9","
-12"
马克尔-富尔茨,G,29,3-9,0-3,0-0,0,3,"
3","
7",2,0,1,0,"
6","
-9"
阿龙-戈登,F,34,4-11,1-4,2-2,1,11,"
12","
2",1,2,3,0,"
11","
-5"
韦斯利-艾旺杜,F,31,3-5,1-1,2-3,0,4,"
4","
0",2,0,1,1,"
9","
-4"
尼古拉-武切维奇,C,33,9-19,3-8,1-3,5,8,"
13","
2",2,0,1,2,"
22","
-12"
特伦斯-罗斯,G-F,30,9-16,2-8,4-4,0,3,"
3","
0",1,0,0,0,"
24","
-7"
DJ-奥古斯丁,G,24,2-5,1-3,0-0,0,0,"
0","
5",0,0,2,0,"
5","
-6"
穆罕默德-班巴,C,15,2-3,1-1,0-0,2,3,"
5","
1",1,2,1,2,"
5","
-2"
肯-伯奇,C-F,11,1-1,0-0,0-0,1,2,"
3","
0",1,0,0,0,"
2","
-11"
约什-马杰特,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
+1"
梅尔文-弗雷泽,G-F,1,1-1,1-1,0-0,0,0,"
0","
0",0,0,0,0,"
3","
+1"
阿米尔-杰弗森,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,35,14-21,4-7,0-1,0,3,"
3","
6",1,0,2,1,"
32","
+15
"
乔-英格尔斯,G,33,4-11,3-9,0-0,0,4,"
4","
5",0,1,2,0,"
11","
+19
"
博扬-波格丹诺维奇,F,30,4-13,2-6,4-5,2,3,"
5","
0",1,0,3,0,"
14","
+6
"
罗伊斯-奥尼尔,F,28,1-6,1-5,0-0,0,4,"
4","
2",2,1,0,0,"
3","
+7
"
鲁迪-戈贝尔,C,34,3-8,0-0,2-4,7,10,"
17","
4",3,1,0,0,"
8","
+10
"
乔丹-克拉克森,G,26,3-8,1-3,0-0,0,1,"
1","
1",2,0,1,2,"
7","
+4"
伊曼纽尔-穆迪埃,G,18,5-11,0-1,2-2,2,4,"
6","
2",0,0,0,0,"
12","
-3"
乔治-尼昂,F,17,5-8,5-8,0-0,0,5,"
5","
2",1,0,0,0,"
15","
+13"
托尼-布拉德利,C-F,14,2-5,0-0,1-2,3,3,"
6","
0",0,0,0,0,"
5","
+3"
雷琼-塔克,G-F,5,1-2,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-8"
朱万-摩根,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-康利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
