快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特里克-贝弗利,G,30,3-7,0-2,0-0,0,5,"
5","
6",2,1,0,0,"
6","
-5"
保罗-乔治,G,26,9-14,5-6,9-11,0,4,"
4","
3",6,2,7,0,"
32","
-1"
莫里斯-哈克利斯,F,21,1-4,0-1,0-0,2,4,"
6","
0",3,0,0,2,"
2","
-1"
帕特里克-帕特森,F,14,2-5,2-5,0-0,0,2,"
2","
1",2,0,0,0,"
6","
0"
伊维察-祖巴茨,C,12,2-3,0-0,0-0,1,1,"
2","
0",1,0,0,0,"
4","
-8"
蒙特雷兹-哈勒尔,F-C,36,13-21,0-0,8-12,2,4,"
6","
3",3,0,3,0,"
34","
+11"
路易斯-威廉姆斯,G,35,9-18,6-10,8-8,1,1,"
2","
9",1,0,7,0,"
32","
+11"
杰迈克尔-格林,F-C,32,4-7,3-5,0-0,4,6,"
10","
3",4,0,2,0,"
11","
+4"
兰德里-沙梅特,G,13,1-2,1-2,2-2,0,1,"
1","
0",4,1,0,0,"
5","
-7"
罗德尼-麦格鲁德,G,13,1-2,1-1,0-0,0,2,"
2","
0",0,0,0,1,"
3","
+7"
杰罗姆-罗宾逊,G,8,0-0,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
0","
+4"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,37,7-11,1-2,9-11,1,5,"
6","
0",4,1,1,1,"
24","
+4
"
弗朗克-尼利基纳,G,28,3-7,1-4,0-1,0,4,"
4","
5",2,0,2,0,"
7","
0
"
朱利叶斯-兰德尔,F,35,6-14,1-4,3-6,0,8,"
8","
4",5,2,3,0,"
16","
+2
"
马库斯-莫里斯,F,35,13-19,6-7,6-10,2,3,"
5","
1",4,2,3,1,"
38","
+2
"
泰-吉布森,C,19,4-6,0-0,3-3,2,4,"
6","
1",4,1,2,0,"
11","
-10
"
雷吉-布洛克,G-F,25,4-5,1-1,0-0,1,0,"
1","
1",2,3,0,0,"
9","
+1"
米切尔-罗宾逊,C-F,22,4-5,0-0,0-0,0,2,"
2","
1",3,1,0,1,"
8","
-3"
卡迪姆-阿伦,G,20,4-9,0-0,1-3,1,2,"
3","
6",1,1,3,0,"
9","
-3"
博比-波蒂斯,F,14,2-6,2-4,2-3,1,1,"
2","
2",1,0,2,0,"
8","
+3"
凯文-诺克斯,F,6,1-2,0-1,0-0,0,0,"
0","
1",0,0,0,1,"
2","
-11"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹伊恩-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
