热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
邓肯-罗宾逊,G,36,2-11,2-11,0-0,1,6,"
7","
0",4,1,1,0,"
6","
0"
肯德里克-纳恩,G,28,5-13,1-5,3-3,0,2,"
2","
5",2,1,1,0,"
14","
+11"
小德里克-琼斯,F,36,8-17,1-4,2-2,2,4,"
6","
2",2,1,0,2,"
19","
+3"
巴姆-阿德巴约,F,36,9-10,0-0,2-6,4,4,"
8","
6",3,1,3,1,"
20","
+9"
迈耶斯-伦纳德,C,23,4-8,3-7,0-0,0,9,"
9","
3",1,0,0,0,"
11","
+11"
戈兰-德拉季奇,G,30,11-17,7-10,0-0,0,3,"
3","
13",1,0,4,0,"
29","
+9"
泰勒-希罗,G,28,4-9,2-5,1-1,1,4,"
5","
3",2,0,0,0,"
11","
+5"
詹姆斯-约翰逊,F,22,4-5,2-2,2-4,2,4,"
6","
2",2,0,1,2,"
12","
+10"
克里斯-席尔瓦,F,2,0-0,0-0,0-0,1,0,"
1","
0",0,0,0,0,"
0","
-3"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-奥利尼克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉米-巴特勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,42,11-22,6-12,6-7,0,1,"
1","
12",1,3,3,0,"
34","
-13
"
小加里-特伦特,G,17,2-7,2-5,0-0,0,0,"
0","
0",0,0,0,0,"
6","
-8
"
卡梅罗-安东尼,F,37,3-11,0-4,5-6,0,2,"
2","
3",3,0,1,0,"
11","
-9
"
肯特-贝兹莫尔,F,35,2-9,1-5,2-2,1,8,"
9","
0",4,0,0,0,"
7","
-13
"
哈桑-怀特塞德,C,32,9-12,0-0,3-3,5,13,"
18","
0",5,0,1,2,"
21","
-2
"
安芬尼-西蒙斯,G,34,8-15,2-6,1-1,0,4,"
4","
4",0,0,3,0,"
19","
+1"
马里奥-海佐尼亚,F-G,20,4-6,1-2,1-1,0,1,"
1","
1",1,2,1,2,"
10","
-7"
安东尼-托利弗,F,17,1-3,1-3,0-0,0,1,"
1","
1",1,0,0,0,"
3","
-7"
纳西尔-利特尔,F-G,4,0-2,0-0,0-0,1,2,"
3","
0",0,0,0,0,"
0","
0"
杰伦-赫尔德,F,2,0-0,0-0,0-0,1,0,"
1","
0",0,0,1,0,"
0","
+3"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-麦科勒姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
