国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,36,7-17,4-10,3-5,1,1,"
2","
5",4,1,2,0,"
21","
+26"
达龙-福克斯,G,30,7-14,0-1,7-8,1,3,"
4","
7",3,1,6,1,"
21","
+17"
哈里森-巴恩斯,F,33,6-12,3-5,3-3,0,4,"
4","
2",0,1,0,0,"
18","
+20"
内马尼亚-别利察,F,27,2-4,2-4,2-2,0,10,"
10","
1",5,0,2,0,"
8","
+24"
里乔恩-霍姆斯,C,20,3-5,0-0,1-1,0,4,"
4","
1",2,1,3,2,"
7","
+18"
特雷沃-阿里扎,F,32,7-9,4-6,0-2,1,5,"
6","
3",2,2,0,0,"
18","
-1"
科里-约瑟夫,G,22,4-8,2-3,2-2,1,2,"
3","
3",0,1,2,0,"
12","
+6"
哈里-贾尔斯,F-C,16,2-6,0-0,0-0,1,5,"
6","
4",2,2,4,0,"
4","
+3"
韦尼恩-加布里埃尔,F,8,0-0,0-0,0-0,0,2,"
2","
0",1,1,2,0,"
0","
-12"
凯莱布-斯瓦尼根,F,7,1-2,0-0,0-0,1,1,"
2","
1",3,0,1,0,"
2","
-13"
约吉-费雷尔,G,5,0-2,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-10"
贾斯廷-詹姆斯,G-F,3,0-2,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-13"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波格丹-波格丹诺维奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-戴德蒙,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,29,3-11,1-6,1-2,0,5,"
5","
2",2,2,0,0,"
8","
-6
"
凯-鲍曼,G,22,3-10,1-3,1-2,0,2,"
2","
2",4,3,5,0,"
8","
-3
"
埃里克-帕斯卡尔,F,31,5-9,0-3,2-4,0,4,"
4","
1",0,1,4,0,"
12","
-19
"
格伦-罗宾逊三世,F,27,7-13,1-2,1-2,0,5,"
5","
1",3,0,2,0,"
16","
-12
"
威利-考利-斯坦,C,26,4-8,0-0,0-0,6,3,"
9","
5",0,2,0,1,"
8","
-10
"
亚历克-伯克斯,G,26,2-10,0-4,6-6,1,5,"
6","
3",3,0,2,1,"
10","
-12"
奥马里-斯佩尔曼,F,22,4-8,0-2,5-6,1,5,"
6","
2",1,2,1,0,"
13","
+2"
雅各布-埃文斯,G-F,19,1-4,0-2,2-2,0,1,"
1","
0",2,1,2,1,"
4","
-7"
乔丹-普尔,G,16,2-4,1-3,4-4,0,1,"
1","
1",1,2,0,0,"
9","
+5"
马基斯-克里斯,F,15,2-7,1-1,3-4,2,3,"
5","
1",2,0,1,1,"
8","
-9"
阿伦-斯马伊拉吉奇,F,7,1-2,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
2","
+6"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
